DATE,VALUE
1998-01-01,100.0
1998-07-01,99.5
1999-01-01,100.9
1999-07-01,105.4
2000-01-01,110.7
2000-07-01,111.2
2001-01-01,114.0
2001-07-01,109.9
2002-01-01,108.8
2002-07-01,110.5
2003-01-01,113.4
2003-07-01,112.5
2004-01-01,117.5
2004-07-01,119.2
2005-01-01,122.5
2005-07-01,130.7
2006-01-01,133.4
2006-07-01,132.1
2007-01-01,135.917
2007-07-01,141.984
2008-01-01,151.774
2008-07-01,146.143
2009-01-01,132.104
2009-07-01,141.084
2010-01-01,145.226
2010-07-01,145.885
2011-01-01,159.45
2011-07-01,160.694
2012-01-01,164.891
2012-07-01,165.2
2013-01-01,166.509
2013-07-01,163.911
2014-01-01,167.803
2014-07-01,162.531
2015-01-01,149.132
2015-07-01,148.639
2016-01-01,143.9
