DATE,VALUE
1998-01-01,91.8
1998-07-01,87.2
1999-01-01,88.0
1999-07-01,106.8
2000-01-01,126.2
2000-07-01,131.1
2001-01-01,130.6
2001-07-01,109.8
2002-01-01,109.3
2002-07-01,120.3
2003-01-01,132.7
2003-07-01,130.1
2004-01-01,153.7
2004-07-01,165.2
2005-01-01,178.9
2005-07-01,219.6
2006-01-01,227.7
2006-07-01,220.8
2007-01-01,231.288
2007-07-01,254.619
2008-01-01,303.17
2008-07-01,270.555
2009-01-01,181.492
2009-07-01,222.98
2010-01-01,241.561
2010-07-01,241.581
2011-01-01,310.246
2011-07-01,307.073
2012-01-01,319.647
2012-07-01,308.343
2013-01-01,310.975
2013-07-01,299.119
2014-01-01,308.856
2014-07-01,275.667
2015-01-01,209.19
2015-07-01,194.519
2016-01-01,170.627
