DATE,VALUE
1998-01-01,100.1
1998-07-01,100.5
1999-01-01,102.0
1999-07-01,103.2
2000-01-01,104.7
2000-07-01,106.7
2001-01-01,108.6
2001-07-01,109.2
2002-01-01,109.3
2002-07-01,110.2
2003-01-01,111.8
2003-07-01,112.3
2004-01-01,114.4
2004-07-01,115.6
2005-01-01,117.3
2005-07-01,119.9
2006-01-01,121.7
2006-07-01,122.6
2007-01-01,124.522
2007-07-01,126.398
2008-01-01,129.886
2008-07-01,130.259
2009-01-01,127.538
2009-07-01,129.984
2010-01-01,131.647
2010-07-01,132.268
2011-01-01,136.245
2011-07-01,137.727
2012-01-01,139.344
2012-07-01,139.954
2013-01-01,140.733
2013-07-01,141.28
2014-01-01,142.112
2014-07-01,142.663
2015-01-01,141.853
2015-07-01,141.773
2016-01-01,141.726
