DATE,VALUE
1984-01-01,33859412.0
1984-04-01,33326022.0
1984-07-01,33200958.0
1984-10-01,32356593.0
1985-01-01,31627657.0
1985-04-01,33256563.0
1985-07-01,34133799.0
1985-10-01,34661448.0
1986-01-01,33642114.0
1986-04-01,33254588.0
1986-07-01,37708172.0
1986-10-01,37112291.0
1987-01-01,38862367.0
1987-04-01,41255877.0
1987-07-01,42732015.0
1987-10-01,42730118.0
1988-01-01,43715607.0
1988-04-01,44172305.0
1988-07-01,45055032.0
1988-10-01,46804986.0
1989-01-01,46880281.0
1989-04-01,47081268.0
1989-07-01,46106353.0
1989-10-01,44799187.0
1990-01-01,45160070.0
1990-04-01,45610080.0
1990-07-01,46665556.0
1990-10-01,45620670.0
1991-01-01,46269619.0
1991-04-01,47075962.0
1991-07-01,51896727.0
1991-10-01,55436553.0
1992-01-01,58937890.0
1992-04-01,62102124.0
1992-07-01,65272429.0
1992-10-01,70430626.0
1993-01-01,75143109.0
1993-04-01,78200031.0
1993-07-01,81646903.0
1993-10-01,85156705.0
