DATE,VALUE
1984-01-01,5154001.0
1984-04-01,6562339.0
1984-07-01,6827207.0
1984-10-01,6705038.0
1985-01-01,5937306.0
1985-04-01,6876634.0
1985-07-01,7710011.0
1985-10-01,7044929.0
1986-01-01,7162241.0
1986-04-01,6113459.0
1986-07-01,5989900.0
1986-10-01,6069005.0
1987-01-01,5371173.0
1987-04-01,5597700.0
1987-07-01,5165831.0
1987-10-01,6383170.0
1988-01-01,5575673.0
1988-04-01,6144768.0
1988-07-01,6709149.0
1988-10-01,6695463.0
1989-01-01,7216439.0
1989-04-01,6163590.0
1989-07-01,7259114.0
1989-10-01,6202804.0
1990-01-01,6448451.0
1990-04-01,7953777.0
1990-07-01,6612952.0
1990-10-01,7156084.0
1991-01-01,7005743.0
1991-04-01,7132327.0
1991-07-01,8405701.0
1991-10-01,8163621.0
1992-01-01,7257246.0
1992-04-01,7401631.0
1992-07-01,5331607.0
1992-10-01,6726583.0
1993-01-01,9330454.0
1993-04-01,7620589.0
1993-07-01,7354383.0
1993-10-01,7385354.0
1994-01-01,7848560.0
1994-04-01,7970460.0
1994-07-01,7329107.0
1994-10-01,7752090.0
1995-01-01,7121817.0
1995-04-01,6933316.0
1995-07-01,8409536.0
1995-10-01,8530588.0
1996-01-01,9192736.0
1996-04-01,9556216.0
1996-07-01,8805769.0
1996-10-01,9617389.0
1997-01-01,9761496.0
1997-04-01,7457838.0
1997-07-01,7925667.0
1997-10-01,8450440.0
1998-01-01,5353171.0
1998-04-01,7761268.0
1998-07-01,6268503.0
1998-10-01,12719759.0
1999-01-01,8903909.0
1999-04-01,7889030.0
1999-07-01,7186202.0
1999-10-01,8134365.0
2000-01-01,14341221.0
2000-04-01,12529149.0
2000-07-01,6589781.0
2000-10-01,8574629.0
2001-01-01,8414213.0
2001-04-01,10602791.0
2001-07-01,13428446.0
2001-10-01,13280556.0
