DATE,VALUE
1990-01-01,343.7
1990-02-01,344.5
1990-03-01,344.5
1990-04-01,345.6
1990-05-01,342.5
1990-06-01,342.5
1990-07-01,343.2
1990-08-01,344.8
1990-09-01,343.0
1990-10-01,342.7
1990-11-01,340.5
1990-12-01,338.8
1991-01-01,336.0
1991-02-01,333.7
1991-03-01,332.0
1991-04-01,328.1
1991-05-01,325.7
1991-06-01,324.1
1991-07-01,319.1
1991-08-01,318.9
1991-09-01,317.8
1991-10-01,315.1
1991-11-01,315.0
1991-12-01,313.3
1992-01-01,312.2
1992-02-01,310.6
1992-03-01,306.8
1992-04-01,309.6
1992-05-01,311.1
1992-06-01,310.0
1992-07-01,311.1
1992-08-01,310.0
1992-09-01,309.4
1992-10-01,310.0
1992-11-01,310.3
1992-12-01,311.0
1993-01-01,310.1
1993-02-01,313.2
1993-03-01,313.8
1993-04-01,312.4
1993-05-01,312.4
1993-06-01,312.9
1993-07-01,312.6
1993-08-01,312.7
1993-09-01,314.1
1993-10-01,315.8
1993-11-01,315.5
1993-12-01,315.7
1994-01-01,316.1
1994-02-01,315.2
1994-03-01,315.7
1994-04-01,317.1
1994-05-01,317.3
1994-06-01,318.1
1994-07-01,318.6
1994-08-01,320.4
1994-09-01,320.6
1994-10-01,320.2
1994-11-01,321.0
1994-12-01,321.2
1995-01-01,323.2
1995-02-01,324.7
1995-03-01,324.6
1995-04-01,327.1
1995-05-01,325.9
1995-06-01,326.1
1995-07-01,323.2
1995-08-01,324.2
1995-09-01,324.9
1995-10-01,325.8
1995-11-01,326.0
1995-12-01,327.3
1996-01-01,326.0
1996-02-01,327.7
1996-03-01,328.6
1996-04-01,328.9
1996-05-01,329.8
1996-06-01,330.1
1996-07-01,331.3
1996-08-01,332.6
1996-09-01,332.9
1996-10-01,333.7
1996-11-01,335.0
1996-12-01,336.0
1997-01-01,335.7
1997-02-01,336.0
1997-03-01,338.6
1997-04-01,339.4
1997-05-01,341.0
1997-06-01,341.8
1997-07-01,344.4
1997-08-01,345.8
1997-09-01,346.9
1997-10-01,347.1
1997-11-01,347.5
1997-12-01,348.7
1998-01-01,350.3
1998-02-01,350.3
1998-03-01,350.7
1998-04-01,352.9
1998-05-01,353.5
1998-06-01,354.5
1998-07-01,354.9
1998-08-01,355.4
1998-09-01,356.0
1998-10-01,355.8
1998-11-01,356.1
1998-12-01,356.8
1999-01-01,354.0
1999-02-01,354.0
1999-03-01,354.4
1999-04-01,352.0
1999-05-01,351.2
1999-06-01,351.2
1999-07-01,351.9
1999-08-01,351.2
1999-09-01,351.5
1999-10-01,352.3
1999-11-01,353.1
1999-12-01,354.0
2000-01-01,356.1
2000-02-01,355.6
2000-03-01,355.4
2000-04-01,355.5
2000-05-01,355.4
2000-06-01,354.7
2000-07-01,352.7
2000-08-01,351.7
2000-09-01,351.3
2000-10-01,352.7
2000-11-01,352.0
2000-12-01,350.9
2001-01-01,351.4
2001-02-01,350.0
2001-03-01,348.5
2001-04-01,345.8
2001-05-01,342.9
2001-06-01,340.9
2001-07-01,336.9
2001-08-01,335.6
2001-09-01,332.6
2001-10-01,328.2
2001-11-01,325.3
2001-12-01,322.4
2002-01-01,319.7
2002-02-01,316.9
2002-03-01,315.8
2002-04-01,314.2
2002-05-01,313.3
2002-06-01,312.3
2002-07-01,311.7
2002-08-01,309.8
2002-09-01,308.5
2002-10-01,306.2
