DATE,VALUE
1990-01-01,41858.0
1990-02-01,41913.0
1990-03-01,43007.0
1990-04-01,42060.0
1990-05-01,42741.0
1990-06-01,43175.0
1990-07-01,42750.0
1990-08-01,42533.0
1990-09-01,42674.0
1990-10-01,42242.0
1990-11-01,42331.0
1990-12-01,41621.0
1991-01-01,40729.0
1991-02-01,41074.0
1991-03-01,41541.0
1991-04-01,42481.0
1991-05-01,41938.0
1991-06-01,42686.0
1991-07-01,41884.0
1991-08-01,42051.0
1991-09-01,41615.0
1991-10-01,42008.0
1991-11-01,41604.0
1991-12-01,40953.0
1992-01-01,40937.0
1992-02-01,40944.0
1992-03-01,41567.0
1992-04-01,41225.0
1992-05-01,41907.0
1992-06-01,43320.0
1992-07-01,42880.0
1992-08-01,42786.0
1992-09-01,42497.0
1992-10-01,42073.0
1992-11-01,42110.0
1992-12-01,41481.0
1993-01-01,41004.0
1993-02-01,41338.0
1993-03-01,41227.0
1993-04-01,41591.0
1993-05-01,41971.0
1993-06-01,42885.0
1993-07-01,42624.0
1993-08-01,42097.0
1993-09-01,42161.0
1993-10-01,42456.0
1993-11-01,42059.0
1993-12-01,41590.0
1994-01-01,41353.0
1994-02-01,41003.0
1994-03-01,41645.0
1994-04-01,41190.0
1994-05-01,41563.0
1994-06-01,42034.0
1994-07-01,41739.0
1994-08-01,41049.0
1994-09-01,40928.0
1994-10-01,41058.0
1994-11-01,41454.0
1994-12-01,40609.0
1995-01-01,40357.0
1995-02-01,40100.0
1995-03-01,40446.0
1995-04-01,41064.0
1995-05-01,40325.0
1995-06-01,40863.0
1995-07-01,40472.0
1995-08-01,40781.0
1995-09-01,40562.0
1995-10-01,40370.0
1995-11-01,40513.0
1995-12-01,39825.0
1996-01-01,39409.0
1996-02-01,39317.0
1996-03-01,39812.0
1996-04-01,39543.0
1996-05-01,40178.0
1996-06-01,40834.0
1996-07-01,40766.0
1996-08-01,40749.0
1996-09-01,40959.0
1996-10-01,40920.0
1996-11-01,41482.0
1996-12-01,40501.0
1997-01-01,39711.0
1997-02-01,39541.0
1997-03-01,40215.0
1997-04-01,39641.0
1997-05-01,40005.0
1997-06-01,40695.0
1997-07-01,39964.0
1997-08-01,40006.0
1997-09-01,39836.0
1997-10-01,40197.0
1997-11-01,40223.0
1997-12-01,39703.0
1998-01-01,39125.0
1998-02-01,38835.0
1998-03-01,39641.0
1998-04-01,38549.0
1998-05-01,39046.0
1998-06-01,39914.0
1998-07-01,39014.0
1998-08-01,39391.0
1998-09-01,39423.0
1998-10-01,39832.0
1998-11-01,39626.0
1998-12-01,39802.0
1999-01-01,38810.0
1999-02-01,38887.0
1999-03-01,38919.0
1999-04-01,39237.0
1999-05-01,39230.0
1999-06-01,40218.0
1999-07-01,39239.0
1999-08-01,39473.0
1999-09-01,39623.0
1999-10-01,39576.0
1999-11-01,39466.0
1999-12-01,39334.0
2000-01-01,39666.0
2000-02-01,39933.0
2000-03-01,39759.0
2000-04-01,39517.0
2000-05-01,39061.0
2000-06-01,39250.0
2000-07-01,38638.0
2000-08-01,38558.0
2000-09-01,39002.0
2000-10-01,38609.0
