DATE,VALUE
1978-01-01,6.341332
1979-01-01,5.513987
1980-01-01,4.786354
1983-01-01,7.695319
1984-01-01,7.194816
1985-01-01,7.708148
1986-01-01,7.813241
1987-01-01,7.09264
1988-01-01,5.730795
1989-01-01,4.894247
1990-01-01,4.324999
1991-01-01,3.915118
1992-01-01,3.384615
1993-01-01,3.460086
1994-01-01,3.737714
1995-01-01,3.752566
1996-01-01,3.983677
1997-01-01,4.366543
1998-01-01,4.582933
1999-01-01,4.324174
2000-01-01,7.828455
2001-01-01,13.37736
2002-01-01,13.01382
2003-01-01,11.13804
2004-01-01,13.16333
2005-01-01,12.93316
