DATE,VALUE
1960-01-01,33.98017
1961-01-01,33.20416
1962-01-01,34.8434
1963-01-01,37.20481
1964-01-01,38.32301
1965-01-01,39.88106
1966-01-01,42.51281
1967-01-01,47.80858
1968-01-01,49.39936
1969-01-01,48.54418
1970-01-01,45.45195
1971-01-01,45.87818
1972-01-01,48.01951
1973-01-01,48.31773
1974-01-01,48.52617
1975-01-01,50.75431
1976-01-01,51.32389
1977-01-01,52.47461
1978-01-01,54.02438
1979-01-01,53.49715
1980-01-01,52.59624
1981-01-01,52.47059
1982-01-01,53.14117
1983-01-01,53.8952
1984-01-01,54.03139
1985-01-01,54.93085
1986-01-01,55.45737
1987-01-01,56.7163
1988-01-01,56.19761
1989-01-01,55.03817
1990-01-01,56.58629
1991-01-01,53.9976
1992-01-01,53.7694
1993-01-01,57.45691
1994-01-01,58.0057
1995-01-01,57.54655
1996-01-01,60.11106
1997-01-01,61.98244
1998-01-01,63.1081
1999-01-01,78.41421
2000-01-01,90.91592
2001-01-01,59.51185
2002-01-01,60.45676
2003-01-01,62.37919
2004-01-01,62.50246
2005-01-01,63.47192
2006-01-01,64.08884
2007-01-01,65.42696
2008-01-01,69.94202
2009-01-01,74.82207
2010-01-01,72.66776
2011-01-01,73.08519
2012-01-01,75.9932
2013-01-01,77.9724
2014-01-01,78.94559
