DATE,VALUE
1980-01-01,0.4748386
1981-01-01,0.4594873
1982-01-01,0.4138363
1983-01-01,0.3602039
1984-01-01,0.5352454
1985-01-01,0.617478
1986-01-01,0.489442
1987-01-01,0.4036756
1997-01-01,2.295439
1998-01-01,4.983091
1999-01-01,4.89471
2000-01-01,9.415949
2001-01-01,17.34716
2002-01-01,17.99833
2003-01-01,16.23952
2004-01-01,21.00354
2005-01-01,21.10223
2006-01-01,23.113
2007-01-01,22.73539
2008-01-01,24.28526
2009-01-01,25.27689
2010-01-01,23.08889
2011-01-01,21.35547
2012-01-01,18.96664
2013-01-01,19.70395
2014-01-01,24.69953
