DATE,VALUE
1965-01-01,17.96565
1966-01-01,18.34913
1967-01-01,19.13045
1968-01-01,19.75359
1969-01-01,19.71524
1970-01-01,20.0364
1971-01-01,21.19641
1972-01-01,22.27492
1973-01-01,25.46732
1974-01-01,31.67957
1975-01-01,38.50407
1976-01-01,45.07711
1977-01-01,53.06979
1978-01-01,61.44714
1979-01-01,62.80266
1980-01-01,65.23283
1981-01-01,72.63322
1982-01-01,79.0872
1983-01-01,81.438
1984-01-01,81.70055
1985-01-01,79.54695
1986-01-01,77.72047
1987-01-01,76.36425
1988-01-01,76.59597
1989-01-01,77.73411
1990-01-01,78.45652
1991-01-01,79.05625
1992-01-01,78.91995
1993-01-01,80.92361
1994-01-01,81.58469
1995-01-01,83.79077
1996-01-01,83.41184
1997-01-01,85.44005
1998-01-01,85.24942
1999-01-01,84.03079
2000-01-01,83.4385
2001-01-01,83.21157
2002-01-01,82.02245
2003-01-01,83.32957
2004-01-01,86.37955
2005-01-01,87.61276
2006-01-01,89.25251
2007-01-01,93.39026
2008-01-01,95.4087
2009-01-01,98.07587
2010-01-01,100.0
2011-01-01,99.63555
2012-01-01,102.3801
2013-01-01,105.7642
2014-01-01,108.5682
