DATE,VALUE
1970-01-01,2.357668
1971-01-01,2.459637
1972-01-01,2.6288
1973-01-01,2.713676
1974-01-01,3.22529
1975-01-01,3.550059
1976-01-01,3.704486
1977-01-01,4.020043
1978-01-01,4.482056
1979-01-01,4.840424
1980-01-01,5.476702
1981-01-01,6.373324
1982-01-01,7.201786
1983-01-01,7.686988
1984-01-01,8.540395
1985-01-01,8.873748
1986-01-01,10.07808
1987-01-01,11.1859
1988-01-01,13.05815
1989-01-01,15.00802
1990-01-01,16.31936
1991-01-01,18.77544
1992-01-01,20.79402
1993-01-01,22.70056
1994-01-01,25.70975
1995-01-01,28.1854
1996-01-01,31.50405
1997-01-01,34.05083
1998-01-01,38.27297
1999-01-01,41.3426
2000-01-01,44.25998
2001-01-01,47.3075
2002-01-01,52.11246
2003-01-01,57.30503
2004-01-01,61.16381
2005-01-01,65.55132
2006-01-01,73.15415
2007-01-01,78.76031
2008-01-01,92.4053
2009-01-01,98.95774
2010-01-01,99.91134
2011-01-01,107.3427
2012-01-01,113.6888
2013-01-01,119.8182
2014-01-01,126.0079
