DATE,VALUE
1983-01-01,33.9968
1984-01-01,28.574
1985-01-01,28.7697
1986-01-01,32.6228
1987-01-01,24.406
1988-01-01,24.0217
1989-01-01,23.4102
1990-01-01,31.6987
1991-01-01,35.7378
1992-01-01,41.831
1993-01-01,38.6431
1994-01-01,35.5693
1995-01-01,26.119
1996-01-01,14.4893
1997-01-01,17.2717
1998-01-01,21.0109
1999-01-01,20.3669
2000-01-01,13.6696
2001-01-01,18.0484
2002-01-01,16.1135
2003-01-01,13.8278
2004-01-01,13.2085
2005-01-01,11.374
2006-01-01,11.7146
2007-01-01,18.2415
2008-01-01,12.5615
2009-01-01,20.24
2010-01-01,14.7567
2011-01-01,10.0114
2012-01-01,9.21487
2013-01-01,7.49601
2014-01-01,9.97456
