DATE,VALUE
1988-01-01,2.504527
1989-01-01,3.842946
1990-01-01,5.941005
1991-01-01,7.377443
1992-01-01,6.682862
1993-01-01,7.383373
1994-01-01,7.134044
1995-01-01,3.875852
1996-01-01,6.799354
1997-01-01,6.837458
1998-01-01,3.097718
1999-01-01,2.913831
2000-01-01,2.695916
2001-01-01,2.52604
2002-01-01,2.24417
2003-01-01,2.088365
2004-01-01,1.976098
2005-01-01,1.905181
2006-01-01,2.020482
2007-01-01,2.132222
2008-01-01,2.205094
2009-01-01,2.170974
2010-01-01,1.89683
2011-01-01,1.393248
2012-01-01,1.373339
2013-01-01,1.288147
2014-01-01,1.205454
