DATE,VALUE
1990-01-01,129.7
1990-02-01,133.9
1990-03-01,135.1
1990-04-01,135.1
1990-05-01,134.0
1990-06-01,133.0
1990-07-01,129.8
1990-08-01,129.8
1990-09-01,131.4
1990-10-01,130.7
1990-11-01,131.3
1990-12-01,131.0
1991-01-01,129.0
1991-02-01,132.6
1991-03-01,133.5
1991-04-01,131.5
1991-05-01,130.0
1991-06-01,129.7
1991-07-01,126.6
1991-08-01,127.1
1991-09-01,128.9
1991-10-01,128.0
1991-11-01,128.7
1991-12-01,128.9
1992-01-01,127.7
1992-02-01,130.9
1992-03-01,133.1
1992-04-01,132.0
1992-05-01,130.3
1992-06-01,130.6
1992-07-01,128.9
1992-08-01,128.4
1992-09-01,129.5
1992-10-01,130.1
1992-11-01,131.2
1992-12-01,131.9
1993-01-01,132.1
1993-02-01,137.0
1993-03-01,138.2
1993-04-01,137.3
1993-05-01,136.3
1993-06-01,137.2
1993-07-01,134.7
1993-08-01,135.3
1993-09-01,136.8
1993-10-01,137.0
1993-11-01,138.1
1993-12-01,139.5
1994-01-01,137.6
1994-02-01,140.7
1994-03-01,142.4
1994-04-01,141.5
1994-05-01,141.2
1994-06-01,141.0
1994-07-01,137.2
1994-08-01,137.0
1994-09-01,140.8
1994-10-01,141.1
1994-11-01,142.1
1994-12-01,143.0
1995-01-01,142.3
1995-02-01,146.4
1995-03-01,148.1
1995-04-01,145.5
1995-05-01,146.0
1995-06-01,145.8
1995-07-01,143.1
1995-08-01,142.9
1995-09-01,146.1
1995-10-01,145.3
1995-11-01,146.5
1995-12-01,148.3
1996-01-01,145.5
1996-02-01,149.3
1996-03-01,151.2
1996-04-01,147.5
1996-05-01,148.0
1996-06-01,148.2
1996-07-01,144.6
1996-08-01,144.9
1996-09-01,146.8
1996-10-01,147.4
1996-11-01,148.2
1996-12-01,149.9
1997-01-01,147.2
1997-02-01,150.0
1997-03-01,149.7
1997-04-01,150.0
1997-05-01,149.5
1997-06-01,149.4
1997-07-01,148.0
1997-08-01,148.1
1997-09-01,150.7
1997-10-01,150.5
1997-11-01,151.9
1997-12-01,153.3
1998-01-01,152.1
1998-02-01,154.6
1998-03-01,153.9
1998-04-01,153.9
1998-05-01,153.2
1998-06-01,153.9
1998-07-01,151.6
1998-08-01,151.0
1998-09-01,153.1
1998-10-01,154.2
1998-11-01,154.7
1998-12-01,156.0
1999-01-01,153.3
1999-02-01,156.2
1999-03-01,156.5
1999-04-01,155.7
1999-05-01,155.8
1999-06-01,156.4
1999-07-01,152.5
1999-08-01,153.0
1999-09-01,154.0
1999-10-01,154.9
1999-11-01,156.3
1999-12-01,158.0
2000-01-01,156.0
2000-02-01,158.3
2000-03-01,159.5
2000-04-01,159.3
2000-05-01,160.1
2000-06-01,158.6
2000-07-01,158.7
2000-08-01,161.3
2000-09-01,161.8
2000-10-01,160.3
2000-11-01,161.2
2000-12-01,161.8
2001-01-01,159.9
2001-02-01,162.8
2001-03-01,163.1
2001-04-01,163.8
2001-05-01,163.3
2001-06-01,162.0
2001-07-01,160.9
2001-08-01,163.1
