DATE,VALUE
1950-01-01,3.2
1951-01-01,3.7
1952-01-01,4.0
1953-01-01,4.2
1954-01-01,4.5
1955-01-01,5.0
1956-01-01,5.3
1957-01-01,5.7
1958-01-01,6.0
1959-01-01,6.6
1960-01-01,7.4
1961-01-01,8.1
1962-01-01,9.0
1963-01-01,9.4
1964-01-01,10.2
1965-01-01,11.2
1966-01-01,12.0
1967-01-01,12.3
1968-01-01,13.4
1969-01-01,14.7
1970-01-01,17.2
1971-01-01,18.8
1972-01-01,20.6
1973-01-01,23.1
1974-01-01,25.7
1975-01-01,27.7
1976-01-01,30.6
1977-01-01,33.0
1978-01-01,35.0
1979-01-01,37.4
1980-01-01,40.1
1981-01-01,42.1
1982-01-01,44.3
1983-01-01,46.4
1984-01-01,48.6
1985-01-01,50.6
1986-01-01,52.3
1987-01-01,54.5
1988-01-01,56.5
1989-01-01,58.5
1990-01-01,61.7
1991-01-01,65.2
1992-01-01,74.0
1993-01-01,76.8
1994-01-01,81.2
1995-01-01,85.6
1996-01-01,87.7
1997-01-01,89.4
1998-01-01,91.3
1999-01-01,93.0
2000-01-01,96.7
2001-01-01,98.5
2002-01-01,100.0
2003-01-01,102.0
2004-01-01,104.0
2005-01-01,104.6
2006-01-01,108.6
2007-01-01,109.4
2008-01-01,111.2
2009-01-01,108.6
2010-01-01,112.6
2011-01-01,117.0
