DATE,VALUE
1947-01-01,39.3
1947-04-01,39.9
1947-07-01,40.1
1947-10-01,39.7
1948-01-01,39.5
1948-04-01,39.3
1948-07-01,38.9
1948-10-01,38.7
1949-01-01,38.9
1949-04-01,39.9
1949-07-01,39.4
1949-10-01,40.3
1950-01-01,39.4
1950-04-01,38.7
1950-07-01,40.2
1950-10-01,37.4
1951-01-01,37.9
1951-04-01,35.5
1951-07-01,35.1
1951-10-01,35.3
1952-01-01,34.9
1952-04-01,35.3
1952-07-01,34.8
1952-10-01,35.2
1953-01-01,34.9
1953-04-01,34.6
1953-07-01,34.3
1953-10-01,34.6
1954-01-01,34.8
1954-04-01,34.9
1954-07-01,34.6
1954-10-01,34.6
1955-01-01,34.5
1955-04-01,34.8
1955-07-01,34.7
1955-10-01,34.4
1956-01-01,34.1
1956-04-01,33.8
1956-07-01,33.7
1956-10-01,33.6
1957-01-01,33.6
1957-04-01,33.6
1957-07-01,33.6
1957-10-01,33.7
1958-01-01,34.0
1958-04-01,33.8
1958-07-01,33.4
1958-10-01,32.9
1959-01-01,33.2
1959-04-01,32.9
1959-07-01,33.2
1959-10-01,32.8
1960-01-01,32.2
1960-04-01,32.9
1960-07-01,32.5
1960-10-01,32.7
1961-01-01,32.2
1961-04-01,31.9
1961-07-01,31.5
1961-10-01,31.4
1962-01-01,31.2
1962-04-01,31.2
1962-07-01,31.1
1962-10-01,31.5
1963-01-01,31.3
1963-04-01,31.1
1963-07-01,31.0
1963-10-01,30.7
1964-01-01,30.8
1964-04-01,31.0
1964-07-01,31.2
1964-10-01,30.8
1965-01-01,31.0
1965-04-01,30.8
1965-07-01,30.8
1965-10-01,31.0
1966-01-01,30.9
1966-04-01,30.6
1966-07-01,30.7
1966-10-01,30.3
1967-01-01,30.0
1967-04-01,30.4
1967-07-01,30.1
1967-10-01,29.8
1968-01-01,30.1
1968-04-01,30.0
1968-07-01,30.5
1968-10-01,30.2
1969-01-01,30.0
1969-04-01,29.9
1969-07-01,29.7
1969-10-01,29.8
1970-01-01,29.8
1970-04-01,29.7
1970-07-01,29.6
1970-10-01,29.5
1971-01-01,29.3
1971-04-01,29.3
1971-07-01,29.1
1971-10-01,29.4
1972-01-01,29.0
1972-04-01,29.0
1972-07-01,29.2
1972-10-01,29.4
1973-01-01,29.5
1973-04-01,29.1
1973-07-01,29.3
1973-10-01,28.8
1974-01-01,29.1
1974-04-01,29.2
1974-07-01,29.7
1974-10-01,28.6
1975-01-01,28.9
1975-04-01,29.1
1975-07-01,29.3
1975-10-01,29.1
1976-01-01,29.1
1976-04-01,29.0
1976-07-01,29.1
1976-10-01,29.2
1977-01-01,29.1
1977-04-01,28.8
1977-07-01,28.5
1977-10-01,28.8
1978-01-01,28.5
1978-04-01,28.3
1978-07-01,28.0
1978-10-01,27.9
1979-01-01,28.0
1979-04-01,27.8
1979-07-01,28.2
1979-10-01,28.1
1980-01-01,28.3
1980-04-01,27.8
1980-07-01,28.0
1980-10-01,27.6
1981-01-01,27.5
1981-04-01,27.3
1981-07-01,27.0
1981-10-01,26.6
1982-01-01,27.1
1982-04-01,26.7
1982-07-01,26.8
1982-10-01,27.0
1983-01-01,26.6
1983-04-01,26.9
1983-07-01,26.8
1983-10-01,26.8
1984-01-01,26.5
1984-04-01,26.5
1984-07-01,26.1
1984-10-01,26.2
1985-01-01,26.2
1985-04-01,26.2
1985-07-01,26.3
1985-10-01,26.0
1986-01-01,25.9
1986-04-01,25.8
1986-07-01,26.3
1986-10-01,26.1
1987-01-01,25.7
1987-04-01,26.0
1987-07-01,26.1
1987-10-01,25.4
1988-01-01,25.7
1988-04-01,25.5
1988-07-01,25.3
1988-10-01,25.4
1989-01-01,25.1
1989-04-01,25.2
1989-07-01,25.2
1989-10-01,25.0
1990-01-01,25.3
1990-04-01,24.8
1990-07-01,24.8
1990-10-01,24.9
1991-01-01,24.5
1991-04-01,24.4
1991-07-01,24.3
1991-10-01,23.9
1992-01-01,24.0
1992-04-01,23.8
1992-07-01,23.9
1992-10-01,23.9
1993-01-01,23.8
1993-04-01,23.9
1993-07-01,23.9
1993-10-01,23.9
1994-01-01,23.9
1994-04-01,23.8
1994-07-01,23.9
1994-10-01,24.0
1995-01-01,23.7
1995-04-01,23.7
1995-07-01,23.7
1995-10-01,23.6
1996-01-01,23.7
1996-04-01,23.8
1996-07-01,23.6
1996-10-01,23.6
1997-01-01,23.6
1997-04-01,23.1
1997-07-01,23.2
1997-10-01,23.3
1998-01-01,23.0
1998-04-01,23.2
1998-07-01,23.2
1998-10-01,23.4
1999-01-01,23.3
1999-04-01,23.8
1999-07-01,23.8
1999-10-01,23.8
2000-01-01,24.1
2000-04-01,23.7
2000-07-01,23.8
2000-10-01,23.8
2001-01-01,23.8
2001-04-01,23.6
2001-07-01,23.6
2001-10-01,24.1
2002-01-01,23.6
2002-04-01,23.7
2002-07-01,23.7
2002-10-01,23.7
2003-01-01,23.7
2003-04-01,23.5
2003-07-01,23.8
2003-10-01,23.6
2004-01-01,23.7
2004-04-01,23.6
2004-07-01,23.5
2004-10-01,23.7
2005-01-01,23.5
2005-04-01,23.6
2005-07-01,23.7
2005-10-01,23.4
2006-01-01,23.4
2006-04-01,23.4
2006-07-01,23.5
2006-10-01,23.2
2007-01-01,23.2
2007-04-01,23.2
2007-07-01,23.2
2007-10-01,23.3
2008-01-01,23.2
2008-04-01,23.3
2008-07-01,23.2
2008-10-01,21.9
2009-01-01,21.8
2009-04-01,22.0
2009-07-01,22.6
2009-10-01,22.4
2010-01-01,22.5
2010-04-01,22.3
2010-07-01,22.3
2010-10-01,22.7
2011-01-01,23.2
2011-04-01,23.2
2011-07-01,23.2
2011-10-01,23.1
2012-01-01,23.3
2012-04-01,23.1
2012-07-01,23.1
2012-10-01,23.2
2013-01-01,23.2
2013-04-01,23.0
2013-07-01,22.9
2013-10-01,22.8
2014-01-01,22.9
2014-04-01,23.0
2014-07-01,22.8
2014-10-01,22.7
2015-01-01,22.2
2015-04-01,22.3
2015-07-01,22.3
2015-10-01,22.2
2016-01-01,21.9
2016-04-01,22.1
