DATE,VALUE
1929-01-01,14.757
1930-01-01,13.838
1931-01-01,13.135
1932-01-01,10.639
1933-01-01,10.886
1934-01-01,11.738
1935-01-01,12.588
1936-01-01,13.657
1937-01-01,14.55
1938-01-01,13.795
1939-01-01,14.73
1940-01-01,15.507
1941-01-01,17.233
1942-01-01,18.084
1943-01-01,20.271
1944-01-01,21.664
1945-01-01,24.099
1946-01-01,26.726
1947-01-01,26.311
1948-01-01,26.035
1949-01-01,26.067
1950-01-01,26.606
1951-01-01,27.685
1952-01-01,28.038
1953-01-01,28.84
1954-01-01,29.222
1955-01-01,29.862
1956-01-01,30.328
1957-01-01,30.046
1958-01-01,29.91
1959-01-01,34.121
1960-01-01,34.828
1961-01-01,33.719
1962-01-01,36.735
1963-01-01,38.202
1964-01-01,39.235
1965-01-01,40.41
1966-01-01,45.65
1967-01-01,44.956
1968-01-01,45.81
1969-01-01,48.588
1970-01-01,51.002
1971-01-01,49.059
1972-01-01,50.86
1973-01-01,53.394
1974-01-01,50.976
1975-01-01,48.748
1976-01-01,49.167
1977-01-01,51.261
1978-01-01,58.097
1979-01-01,63.444
1980-01-01,64.216
1981-01-01,64.734
1982-01-01,63.921
1983-01-01,64.806
1984-01-01,68.819
1985-01-01,68.401
1986-01-01,69.601
1987-01-01,74.154
1988-01-01,78.851
1989-01-01,81.249
1990-01-01,83.877
1991-01-01,81.899
1992-01-01,80.647
1993-01-01,83.606
1994-01-01,88.445
1995-01-01,90.514
1996-01-01,92.163
1997-01-01,95.35
1998-01-01,96.95
1999-01-01,102.311
2000-01-01,107.311
2001-01-01,104.459
2002-01-01,103.826
2003-01-01,104.98
2004-01-01,107.114
2005-01-01,107.672
2006-01-01,108.401
2007-01-01,105.348
2008-01-01,104.196
2009-01-01,100.0
2010-01-01,106.018
2011-01-01,112.477
2012-01-01,116.126
2013-01-01,117.24
2014-01-01,122.347
2015-01-01,131.335
