DATE,VALUE
1929-01-01,5.649
1930-01-01,5.577
1931-01-01,5.337
1932-01-01,5.086
1933-01-01,4.762
1934-01-01,4.782
1935-01-01,4.844
1936-01-01,4.953
1937-01-01,5.13
1938-01-01,5.224
1939-01-01,5.183
1940-01-01,5.246
1941-01-01,5.431
1942-01-01,5.7
1943-01-01,6.157
1944-01-01,7.01
1945-01-01,7.391
1946-01-01,7.779
1947-01-01,8.257
1948-01-01,8.44
1949-01-01,8.587
1950-01-01,8.656
1951-01-01,8.925
1952-01-01,9.13
1953-01-01,9.515
1954-01-01,9.968
1955-01-01,10.369
1956-01-01,10.653
1957-01-01,11.053
1958-01-01,11.472
1959-01-01,11.761
1960-01-01,12.387
1961-01-01,12.886
1962-01-01,13.317
1963-01-01,13.743
1964-01-01,14.316
1965-01-01,14.78
1966-01-01,15.359
1967-01-01,16.043
1968-01-01,17.023
1969-01-01,18.011
1970-01-01,19.263
1971-01-01,20.248
1972-01-01,20.905
1973-01-01,21.722
1974-01-01,23.345
1975-01-01,25.189
1976-01-01,26.695
1977-01-01,28.227
1978-01-01,30.131
1979-01-01,32.071
1980-01-01,34.244
1981-01-01,36.185
1982-01-01,38.216
1983-01-01,40.138
1984-01-01,41.993
1985-01-01,43.931
1986-01-01,46.042
1987-01-01,47.998
1988-01-01,49.767
1989-01-01,52.468
1990-01-01,55.235
1991-01-01,58.027
1992-01-01,59.582
1993-01-01,61.198
1994-01-01,63.27
1995-01-01,64.751
1996-01-01,67.04
1997-01-01,69.162
1998-01-01,70.882
1999-01-01,74.155
2000-01-01,77.629
2001-01-01,80.596
2002-01-01,82.8
2003-01-01,85.863
2004-01-01,87.907
2005-01-01,90.212
2006-01-01,93.473
2007-01-01,96.407
2008-01-01,98.913
2009-01-01,100.0
2010-01-01,100.358
2011-01-01,100.355
2012-01-01,102.795
2013-01-01,104.368
2014-01-01,106.209
2015-01-01,108.84
