DATE,VALUE
2001-01-03,298799.2885
2001-01-10,299296.923
2001-01-17,297571.0953
2001-01-24,295651.1551
2001-01-31,294073.4928
2001-02-07,298656.6692
2001-02-14,302246.4019
2001-02-21,313338.144
2001-02-28,313527.3899
2001-03-07,330826.196
2001-03-14,325799.7799
2001-03-21,325177.0429
2001-03-28,327412.4893
2001-04-04,316978.0691
2001-04-11,325423.4184
2001-04-18,321976.5236
2001-04-25,333450.1882
2001-05-02,338856.5379
2001-05-09,340738.3119
2001-05-16,340349.779
2001-05-23,340556.8016
2001-05-30,333325.15
2001-06-06,322268.6646
2001-06-13,308756.2537
2001-06-20,302501.6328
2001-06-27,288664.3937
2001-07-04,276831.432
2001-07-11,274431.0242
2001-07-18,265001.7295
2001-07-25,264463.6459
2001-08-01,261446.8561
2001-08-08,250354.995
2001-08-15,241128.323
2001-08-22,235894.0364
2001-08-29,234166.3934
2001-09-05,231074.0722
2001-09-12,239393.0177
2001-09-19,235674.8513
2001-09-26,229395.1124
2001-10-03,222001.6909
2001-10-10,223989.2884
2001-10-17,218446.1158
2001-10-24,210709.9784
2001-10-31,225086.1012
2001-11-07,235181.4108
2001-11-14,242955.2971
2001-11-21,253016.0706
2001-11-28,255439.2399
2001-12-05,257964.3012
2001-12-12,261384.0825
2001-12-19,252730.7213
2001-12-26,255910.7455
2002-01-02,251460.3008
2002-01-09,260643.5334
2002-01-16,265557.6941
2002-01-23,263337.9589
2002-01-30,264271.3681
2002-02-06,270368.1133
2002-02-13,276793.3768
2002-02-20,277519.913
2002-02-27,287910.231
2002-03-06,298291.7409
2002-03-13,297619.2818
2002-03-20,287866.0812
2002-03-27,280018.3726
2002-04-03,275071.5797
2002-04-10,280378.6387
2002-04-17,289507.2346
2002-04-24,294740.8993
2002-05-01,293285.296
2002-05-08,291074.6857
2002-05-15,290397.2971
2002-05-22,293336.2448
2002-05-29,291961.0661
2002-06-05,299969.6042
2002-06-12,294311.661
2002-06-19,281419.6663
2002-06-26,272127.3145
2002-07-03,251297.5162
2002-07-10,241952.0832
2002-07-17,238542.6183
2002-07-24,235528.6884
2002-07-31,228731.4656
2002-08-07,225585.5341
2002-08-14,219375.4192
2002-08-21,217841.3466
2002-08-28,211710.3393
2002-09-04,204688.0551
2002-09-11,201566.4331
2002-09-18,201511.7802
