DATE,VALUE
2003-10-01,2910600.0
2004-01-01,2903300.0
2004-04-01,2907100.0
2004-07-01,2909700.0
2004-10-01,2904400.0
2005-01-01,2896100.0
2005-04-01,2885800.0
2005-07-01,2881700.0
2005-10-01,2882400.0
2006-01-01,2895700.0
2006-04-01,2916400.0
2006-07-01,2929200.0
2006-10-01,2931400.0
2007-01-01,2934500.0
2007-04-01,2932300.0
2007-07-01,2926900.0
2007-10-01,2929700.0
2008-01-01,2935900.0
2008-04-01,2946800.0
2008-07-01,2954800.0
2008-10-01,2953300.0
2009-01-01,2928200.0
2009-04-01,2896200.0
2009-07-01,2878000.0
2009-10-01,2841100.0
2010-01-01,2818000.0
2010-04-01,2814100.0
2010-07-01,2802800.0
2010-10-01,2815700.0
2011-01-01,2834800.0
2011-04-01,2837000.0
2011-07-01,2842600.0
2011-10-01,2847600.0
2012-01-01,2856700.0
2012-04-01,2863600.0
2012-07-01,2862900.0
2012-10-01,2865800.0
2013-01-01,2856900.0
2013-04-01,2869600.0
2013-07-01,2884400.0
2013-10-01,2884300.0
2014-01-01,2886900.0
2014-04-01,2884800.0
2014-07-01,2899200.0
2014-10-01,2919900.0
2015-01-01,2937300.0
2015-04-01,2936700.0
2015-07-01,2938600.0
2015-10-01,2949000.0
2016-01-01,2959300.0
2016-04-01,2982100.0
