DATE,VALUE
2003-10-01,266100.0
2004-01-01,266300.0
2004-04-01,266600.0
2004-07-01,267900.0
2004-10-01,268000.0
2005-01-01,269700.0
2005-04-01,270100.0
2005-07-01,270600.0
2005-10-01,273000.0
2006-01-01,273600.0
2006-04-01,275700.0
2006-07-01,277200.0
2006-10-01,277600.0
2007-01-01,278700.0
2007-04-01,278200.0
2007-07-01,278800.0
2007-10-01,280100.0
2008-01-01,281900.0
2008-04-01,282600.0
2008-07-01,283700.0
2008-10-01,285300.0
2009-01-01,284300.0
2009-04-01,283700.0
2009-07-01,281700.0
2009-10-01,279100.0
2010-01-01,277900.0
2010-04-01,277900.0
2010-07-01,278200.0
2010-10-01,280100.0
2011-01-01,281100.0
2011-04-01,282000.0
2011-07-01,281700.0
2011-10-01,280700.0
2012-01-01,283000.0
2012-04-01,285400.0
2012-07-01,287100.0
2012-10-01,288000.0
2013-01-01,288700.0
2013-04-01,290100.0
2013-07-01,291800.0
2013-10-01,294700.0
2014-01-01,296300.0
2014-04-01,297200.0
2014-07-01,296800.0
2014-10-01,296500.0
2015-01-01,295100.0
2015-04-01,295100.0
2015-07-01,296700.0
2015-10-01,293900.0
2016-01-01,290300.0
2016-04-01,285900.0
