DATE,VALUE
1990-01-01,271405226.0
1990-04-01,274451268.0
1990-07-01,278624164.0
1990-10-01,285391239.0
1991-01-01,287666122.0
1991-04-01,292313718.0
1991-07-01,296688086.0
1991-10-01,294193352.0
1992-01-01,303308392.0
1992-04-01,309410965.0
1992-07-01,310169997.0
1992-10-01,321784615.0
1993-01-01,317055053.0
1993-04-01,323163588.0
1993-07-01,328733883.0
1993-10-01,346265426.0
1994-01-01,345257936.0
1994-04-01,353123401.0
1994-07-01,366014861.0
1994-10-01,362459803.0
1995-01-01,374320222.0
1995-04-01,371541300.0
1995-07-01,374876320.0
1995-10-01,379752605.0
1996-01-01,389955716.0
1996-04-01,391821142.0
1996-07-01,394786586.0
1996-10-01,397220073.0
1997-01-01,403034252.0
1997-04-01,414815307.0
1997-07-01,414844616.0
1997-10-01,424902092.0
1998-01-01,435503714.0
1998-04-01,446479122.0
1998-07-01,461301812.0
1998-10-01,471604296.0
1999-01-01,459361108.0
1999-04-01,478889897.0
1999-07-01,500224987.0
1999-10-01,518746965.0
2000-01-01,518219360.0
2000-04-01,522538155.0
2000-07-01,531732825.0
2000-10-01,538575583.0
2001-01-01,556495886.0
2001-04-01,561151594.0
2001-07-01,569244892.0
2001-10-01,575691871.0
2002-01-01,587968105.0
2002-04-01,594811368.0
2002-07-01,588436593.0
2002-10-01,593617591.0
2003-01-01,605815824.0
2003-04-01,611593713.0
2003-07-01,620481852.0
2003-10-01,631456981.0
2004-01-01,636112004.0
2004-04-01,645851399.0
2004-07-01,645600873.0
2004-10-01,664784984.0
2005-01-01,648460038.0
2005-04-01,673177970.0
2005-07-01,700540334.0
2005-10-01,682448126.0
2006-01-01,707706962.0
2006-04-01,708812624.0
2006-07-01,717055122.0
2006-10-01,730573943.0
2007-01-01,755028558.0
2007-04-01,762143568.0
2007-07-01,769140169.0
2007-10-01,785634266.0
2008-01-01,802639212.0
2008-04-01,808765865.0
2008-07-01,822771152.0
2008-10-01,814704382.0
2009-01-01,817717923.0
2009-04-01,819884235.0
2009-07-01,813140541.0
2009-10-01,819947850.0
2010-01-01,807820206.0
2010-04-01,830870093.0
2010-07-01,839879945.0
2010-10-01,853981485.0
2011-01-01,844238758.0
2011-04-01,864949552.0
2011-07-01,901697713.0
2011-10-01,868323267.0
2012-01-01,913656147.0
2012-04-01,904613002.0
2012-07-01,919915225.0
2012-10-01,925045983.0
2013-01-01,941353615.0
2013-04-01,949109694.0
2013-07-01,965827572.0
2013-10-01,968841931.0
2014-01-01,986502436.0
2014-04-01,989248809.0
2014-07-01,995098336.0
2014-10-01,1009291758.0
2015-01-01,1022639478.0
2015-04-01,1032085541.0
2015-07-01,1036943590.0
2015-10-01,1063318564.0
2016-01-01,1047333219.0
