DATE,VALUE
1990-01-01,586534815.0
1990-04-01,620528734.0
1990-07-01,595376138.0
1990-10-01,643630378.0
1991-01-01,601933183.0
1991-04-01,647476744.0
1991-07-01,623623955.0
1991-10-01,679959313.0
1992-01-01,644380348.0
1992-04-01,687916204.0
1992-07-01,657335533.0
1992-10-01,760969324.0
1993-01-01,660631524.0
1993-04-01,723389458.0
1993-07-01,694502019.0
1993-10-01,782132105.0
1994-01-01,710495976.0
1994-04-01,744494642.0
1994-07-01,725271023.0
1994-10-01,793086288.0
1995-01-01,752338703.0
1995-04-01,768824140.0
1995-07-01,767602179.0
1995-10-01,834664270.0
1996-01-01,797234770.0
1996-04-01,817797460.0
1996-07-01,794583621.0
1996-10-01,871557124.0
1997-01-01,838032008.0
1997-04-01,845345687.0
1997-07-01,908442482.0
1997-10-01,903654139.0
1998-01-01,855127858.0
1998-04-01,897836024.0
1998-07-01,873706433.0
1998-10-01,1023084842.0
1999-01-01,866415765.0
1999-04-01,934412753.0
1999-07-01,924517617.0
1999-10-01,1019548732.0
2000-01-01,971039007.0
2000-04-01,974673708.0
2000-07-01,944804200.0
2000-10-01,1050130058.0
2001-01-01,1032175336.0
2001-04-01,1035731595.0
2001-07-01,981732633.0
2001-10-01,1069530487.0
2002-01-01,1016515745.0
2002-04-01,1011148655.0
2002-07-01,995203575.0
2002-10-01,1097490525.0
2003-01-01,1044891169.0
2003-04-01,1066571972.0
2003-07-01,1053235040.0
2003-10-01,1153531861.0
2004-01-01,1106349814.0
2004-04-01,1150429250.0
2004-07-01,1126601435.0
2004-10-01,1286194690.0
2005-01-01,1166742255.0
2005-04-01,1237907654.0
2005-07-01,1256065182.0
2005-10-01,1384130243.0
2006-01-01,1330889433.0
2006-04-01,1339607458.0
2006-07-01,1277204698.0
2006-10-01,1493070686.0
2007-01-01,1360388362.0
2007-04-01,1380157636.0
2007-07-01,1332950910.0
2007-10-01,1479148178.0
2008-01-01,1372998054.0
2008-04-01,1381901461.0
2008-07-01,1320197529.0
2008-10-01,1417554432.0
2009-01-01,1293044550.0
2009-04-01,1329678529.0
2009-07-01,1278194743.0
2009-10-01,1453051074.0
2010-01-01,1240680484.0
2010-04-01,1347798952.0
2010-07-01,1309716735.0
2010-10-01,1484986547.0
2011-01-01,1312007935.0
2011-04-01,1418045032.0
2011-07-01,1378407007.0
2011-10-01,1470063272.0
2012-01-01,1382563676.0
2012-04-01,1424999954.0
2012-07-01,1338201401.0
2012-10-01,1521519461.0
2013-01-01,1393751006.0
2013-04-01,1439534599.0
2013-07-01,1371274882.0
2013-10-01,1519880468.0
2014-01-01,1438216080.0
2014-04-01,1494576114.0
2014-07-01,1446124007.0
2014-10-01,1637586495.0
2015-01-01,1526927122.0
2015-04-01,1571692236.0
2015-07-01,1529613971.0
2015-10-01,1757099595.0
2016-01-01,1614941067.0
