DATE,VALUE
1997-04-01,80.9
1997-07-01,85.5
1997-10-01,89.3
1998-01-01,34.5
1998-04-01,9.5
1998-07-01,13.8
1998-10-01,9.1
1999-01-01,1.1
1999-04-01,5.5
1999-07-01,0.1
1999-10-01,5.1
2000-01-01,5.0
2000-04-01,2.4
2000-10-01,9.1
2001-01-01,2.3
2001-04-01,5.2
2001-07-01,6.4
2001-10-01,3.2
2002-01-01,13.8
2002-10-01,2.2
2003-01-01,16.4
2003-04-01,0.8
2003-07-01,0.0
2003-10-01,0.2
2004-01-01,0.5
2004-04-01,26.9
2004-07-01,0.3
2004-10-01,0.0
2005-01-01,0.6
2005-04-01,0.4
2005-07-01,10.0
2005-10-01,0.3
2006-01-01,0.2
2006-04-01,0.4
2006-07-01,0.4
2006-10-01,1.3
2007-01-01,1.0
2007-04-01,3.3
2007-07-01,0.0
2007-10-01,0.1
2008-01-01,1.4
2008-04-01,1.5
2008-07-01,0.8
2008-10-01,4.0
2009-01-01,32.9
2009-04-01,0.9
2009-07-01,3.2
2009-10-01,5.0
2010-01-01,2.6
2010-04-01,3.1
2010-07-01,0.5
2010-10-01,2.6
2011-01-01,15.2
2011-04-01,5.1
2011-07-01,1.3
2011-10-01,4.9
2012-01-01,0.0
2012-04-01,2.0
2012-07-01,1.4
2012-10-01,2.5
2013-01-01,2.5
2013-04-01,0.6
2013-07-01,1.4
2013-10-01,5.5
2014-01-01,1.8
2014-04-01,1.3
2014-07-01,6.3
2014-10-01,2.2
2015-01-01,0.5
2015-04-01,2.0
2015-07-01,2.2
2015-10-01,3.7
2016-01-01,0.6
2016-04-01,2.1
2016-07-01,1.8
