DATE,VALUE
1997-04-01,7.5
1997-07-01,18.2
1997-10-01,11.4
1998-01-01,8.4
1998-04-01,8.4
1998-07-01,5.6
1998-10-01,6.7
1999-01-01,5.3
1999-04-01,1.8
1999-07-01,2.1
1999-10-01,5.4
2000-01-01,3.5
2000-04-01,2.2
2000-07-01,3.6
2000-10-01,4.1
2001-01-01,4.3
2001-04-01,4.0
2001-07-01,22.5
2001-10-01,23.6
2002-01-01,6.6
2002-04-01,11.5
2002-07-01,10.5
2002-10-01,10.3
2003-01-01,8.1
2003-04-01,7.1
2003-07-01,11.5
2003-10-01,20.2
2004-01-01,8.1
2004-04-01,7.8
2004-07-01,6.9
2004-10-01,5.9
2005-01-01,9.4
2005-04-01,8.8
2005-07-01,9.6
2005-10-01,6.0
2006-01-01,8.3
2006-04-01,7.4
2006-07-01,7.4
2006-10-01,7.4
2007-01-01,7.6
2007-04-01,7.9
2007-07-01,7.2
2007-10-01,11.9
2008-01-01,11.1
2008-04-01,12.1
2008-07-01,13.2
2008-10-01,8.2
2009-01-01,8.3
2009-04-01,13.7
2009-07-01,13.8
2009-10-01,13.5
2010-01-01,12.4
2010-04-01,22.2
2010-07-01,20.6
2010-10-01,20.2
2011-01-01,28.4
2011-04-01,20.3
2011-07-01,23.7
2011-10-01,35.2
2012-01-01,22.0
2012-04-01,26.3
2012-07-01,22.4
2012-10-01,23.3
2013-01-01,23.5
2013-04-01,28.5
2013-07-01,25.2
2013-10-01,23.3
2014-01-01,28.4
2014-04-01,25.3
2014-07-01,21.8
2014-10-01,23.0
2015-01-01,20.8
2015-04-01,20.2
2015-07-01,22.5
2015-10-01,20.6
2016-01-01,28.4
2016-04-01,23.9
2016-07-01,28.7
