DATE,VALUE
1997-07-01,65.7
1997-10-01,85.5
1998-01-01,99.9
1998-04-01,99.5
1998-10-01,100.0
1999-01-01,99.0
1999-04-01,65.2
1999-10-01,99.3
2000-01-01,100.0
2000-04-01,99.4
2000-10-01,100.0
2001-01-01,92.9
2001-04-01,100.0
2001-10-01,100.0
2002-01-01,100.0
2003-10-01,38.5
2004-01-01,74.7
2004-04-01,100.0
2004-07-01,74.5
2004-10-01,100.0
2005-01-01,88.1
2005-04-01,90.1
2005-10-01,93.5
2006-01-01,95.6
2006-04-01,100.0
2006-07-01,94.4
2006-10-01,28.1
2007-01-01,24.6
2007-04-01,46.7
2007-07-01,73.9
2007-10-01,100.0
2008-01-01,95.8
2008-04-01,100.0
2008-07-01,100.0
2008-10-01,83.9
2009-01-01,89.5
2009-04-01,84.5
2009-07-01,48.0
2009-10-01,100.0
2010-01-01,100.0
2010-10-01,100.0
2011-01-01,100.0
2011-04-01,100.0
2011-07-01,100.0
2011-10-01,100.0
2012-01-01,100.0
2012-04-01,100.0
2012-07-01,100.0
2012-10-01,100.0
2013-01-01,100.0
2013-04-01,92.6
2013-10-01,100.0
2014-01-01,64.1
2014-04-01,100.0
2014-07-01,100.0
2014-10-01,100.0
2015-04-01,100.0
2015-07-01,100.0
2015-10-01,100.0
2016-01-01,100.0
2016-04-01,100.0
2016-07-01,100.0
