DATE,VALUE
1945-01-01,205539.0
1946-01-01,197245.0
1947-01-01,204076.0
1948-01-01,208451.0
1949-01-01,208077.0
1950-01-01,218504.0
1951-01-01,233243.0
1952-01-01,247829.0
1953-01-01,256955.0
1954-01-01,270445.0
1955-01-01,282377.0
1956-01-01,294622.0
1957-01-01,305431.0
1958-01-01,327106.0
1959-01-01,338539.0
1960-01-01,356265.0
1961-01-01,384316.0
1962-01-01,418300.0
1963-01-01,451944.0
1964-01-01,491947.0
1965-01-01,533255.0
1966-01-01,564649.0
1967-01-01,623271.0
1968-01-01,678018.0
1969-01-01,693523.0
1970-01-01,758483.0
1971-01-01,855359.0
1972-01-01,961433.0
1973-01-01,1058335.0
1974-01-01,1144859.0
1975-01-01,1241715.0
1976-01-01,1366936.0
1977-01-01,1518205.0
1978-01-01,1687971.0
1979-01-01,1834477.0
1980-01-01,1964151.0
1981-01-01,2079938.0
1982-01-01,2269602.0
1983-01-01,2495068.0
1984-01-01,2795625.0
1985-01-01,3170299.0
1986-01-01,3451206.0
1987-01-01,3622859.0
1988-01-01,3870475.0
1989-01-01,3972606.0
1990-01-01,4031782.0
1991-01-01,4058614.0
1992-01-01,4047614.0
1993-01-01,4093331.0
1994-01-01,4170053.0
1995-01-01,4341412.0
1996-01-01,4530358.0
1997-01-01,4781628.0
1998-01-01,5012937.0
1999-01-01,5348363.0
2000-01-01,5568361.0
2001-01-01,6040857.0
2002-01-01,6396496.0
2003-01-01,6846794.0
2004-01-01,7474001.0
2005-01-01,8082895.0
2006-01-01,8703543.0
2007-01-01,9252209.0
2008-01-01,11398301.0
2009-01-01,11660628.0
2010-01-01,11990568.0
2011-01-01,13447891.0
2012-01-01,14015030.0
2013-01-01,15860643.0
