DATE,VALUE
1946-01-01,0.0
1947-01-01,0.0
1948-01-01,0.0
1949-01-01,0.0
1950-01-01,0.0
1951-01-01,0.0
1952-01-01,0.0
1953-01-01,0.0
1954-01-01,0.0
1955-01-01,0.0
1956-01-01,0.0
1957-01-01,0.0
1958-01-01,0.0
1959-01-01,0.0
1960-01-01,0.0
1961-01-01,0.0
1962-01-01,-10.0
1963-01-01,19.0
1964-01-01,14.0
1965-01-01,38.0
1966-01-01,-61.0
1967-01-01,104.0
1968-01-01,29.0
1969-01-01,-203.0
1970-01-01,-136.0
1971-01-01,247.0
1972-01-01,111.0
1973-01-01,-504.0
1974-01-01,-784.0
1975-01-01,485.0
1976-01-01,301.0
1977-01-01,-139.0
1978-01-01,467.0
1979-01-01,539.0
1980-01-01,802.0
1981-01-01,-365.0
1982-01-01,-830.0
1983-01-01,846.0
1984-01-01,-252.0
1985-01-01,7295.0
1986-01-01,625.0
1987-01-01,6913.0
1988-01-01,5117.0
1989-01-01,12434.0
1990-01-01,-694.0
1991-01-01,-8006.0
1992-01-01,8728.0
1993-01-01,14735.0
1994-01-01,7147.0
1995-01-01,95155.0
1996-01-01,76687.0
1997-01-01,149452.0
1998-01-01,90773.3
1999-01-01,244361.7
2000-01-01,-52348.9
2001-01-01,-241680.8
2002-01-01,-162183.8
2003-01-01,252684.3
2004-01-01,124004.9
2005-01-01,283880.5
2006-01-01,252381.3
2007-01-01,91815.0
2008-01-01,-900856.7
2009-01-01,482411.9
2010-01-01,272712.4
2011-01-01,-43679.6
2012-01-01,280213.3
