DATE,VALUE
1960-01-01,-28.8
1960-04-01,3.5
1960-07-01,-18.5
1960-10-01,-28.3
1961-01-01,-26.5
1961-04-01,-31.3
1961-07-01,-30.3
1961-10-01,-31.3
1962-01-01,-19.8
1962-04-01,-17.0
1962-07-01,-14.0
1962-10-01,-25.8
1963-01-01,-24.0
1963-04-01,-31.0
1963-07-01,-26.3
1963-10-01,-36.8
1964-01-01,5.8
1964-04-01,-10.5
1964-07-01,-22.5
1964-10-01,-25.8
1965-01-01,-55.5
1965-04-01,-53.8
1965-07-01,-19.0
1965-10-01,-49.5
1966-01-01,-55.3
1966-04-01,-21.0
1966-07-01,-16.8
1966-10-01,3.3
1967-01-01,46.0
1967-04-01,16.3
1967-07-01,0.8
1967-10-01,-39.3
1968-01-01,66.8
1968-04-01,74.8
1968-07-01,64.0
1968-10-01,73.0
1969-01-01,15.0
1969-04-01,44.8
1969-07-01,97.0
1969-10-01,107.5
1970-01-01,72.8
1970-04-01,46.3
1970-07-01,-4.3
1970-10-01,-7.0
1971-01-01,46.8
1971-04-01,-49.0
1971-07-01,-123.0
1971-10-01,-114.5
1972-01-01,84.5
1972-04-01,111.5
1972-07-01,89.0
1972-10-01,0.5
1973-01-01,170.0
1973-04-01,214.5
1973-07-01,110.3
1973-10-01,-55.8
1974-01-01,318.0
1974-04-01,537.5
1974-07-01,872.5
1974-10-01,1076.8
1975-01-01,918.3
1975-04-01,542.0
1975-07-01,84.8
1975-10-01,103.8
1976-01-01,299.5
1976-04-01,168.5
1976-07-01,334.3
1976-10-01,541.0
1977-01-01,231.0
1977-04-01,247.8
1977-07-01,327.3
1977-10-01,359.8
1978-01-01,611.0
1978-04-01,616.0
1978-07-01,571.3
1978-10-01,511.8
1979-01-01,1067.5
1979-04-01,956.0
1979-07-01,747.0
1979-10-01,634.5
1980-01-01,1581.0
1980-04-01,1437.8
1980-07-01,1147.0
1980-10-01,685.3
1981-01-01,1518.3
1981-04-01,1457.0
1981-07-01,860.0
1981-10-01,741.5
1982-01-01,817.3
1982-04-01,1006.5
1982-07-01,352.8
1982-10-01,-100.0
1983-01-01,504.8
1983-04-01,150.3
1983-07-01,56.8
1983-10-01,219.3
1984-01-01,682.3
1984-04-01,879.3
1984-07-01,627.8
1984-10-01,382.3
1985-01-01,980.0
1985-04-01,959.0
1985-07-01,993.8
1985-10-01,939.5
1986-01-01,1205.3
1986-04-01,1986.3
1986-07-01,1578.5
1986-10-01,101.5
1987-01-01,1254.0
1987-04-01,-22.0
1987-07-01,-384.0
1987-10-01,1510.3
1988-01-01,1138.5
1988-04-01,608.0
1988-07-01,301.0
1988-10-01,1816.5
1989-01-01,758.8
1989-04-01,199.3
1989-07-01,924.0
1989-10-01,1258.5
1990-01-01,-735.8
1990-04-01,-1585.3
1990-07-01,1870.3
1990-10-01,3500.8
1991-01-01,2137.5
1991-04-01,-898.3
1991-07-01,-881.8
1991-10-01,-67.5
1992-01-01,107.0
1992-04-01,-1127.5
1992-07-01,298.8
1992-10-01,-893.0
1993-01-01,681.0
1993-04-01,-341.8
1993-07-01,-218.0
1993-10-01,-706.0
1994-01-01,813.5
1994-04-01,420.0
1994-07-01,-333.0
1994-10-01,-1433.5
1995-01-01,-417.8
1995-04-01,709.3
1995-07-01,-357.0
1995-10-01,-1931.0
1996-01-01,-1943.3
1996-04-01,-6931.3
1996-07-01,-1021.3
1996-10-01,-2587.5
1997-01-01,-2818.8
1997-04-01,-3299.0
1997-07-01,-3167.5
1997-10-01,-4528.5
1998-01-01,-1960.8
1998-04-01,-2076.0
1998-07-01,-4425.5
1998-10-01,333.5
1999-01-01,762.3
1999-04-01,-80.0
1999-07-01,-15.5
1999-10-01,2504.8
2000-01-01,2042.8
2000-04-01,2047.5
2000-07-01,3382.8
2000-10-01,1073.0
2001-01-01,-2472.3
2001-04-01,-174.8
2001-07-01,3802.0
2001-10-01,28.3
2002-01-01,2276.3
2002-04-01,1036.5
2002-07-01,1835.3
2002-10-01,4210.5
2003-01-01,2662.0
2003-04-01,4292.0
2003-07-01,6017.5
2003-10-01,5977.0
2004-01-01,4096.5
2004-04-01,6051.5
2004-07-01,4776.8
2004-10-01,4011.8
2005-01-01,6609.5
2005-04-01,4649.0
2005-07-01,2753.3
2005-10-01,4776.0
2006-01-01,5296.0
2006-04-01,5475.3
2006-07-01,6679.3
2006-10-01,6826.5
2007-01-01,4715.5
2007-04-01,4862.0
2007-07-01,1175.5
2007-10-01,732.8
2008-01-01,-3207.3
2008-04-01,-604.5
2008-07-01,4171.8
2008-10-01,5195.8
2009-01-01,1248.5
2009-04-01,-1830.8
2009-07-01,-2815.3
2009-10-01,-3675.3
2010-01-01,-4826.0
2010-04-01,699.3
2010-07-01,2193.5
2010-10-01,4728.0
2011-01-01,2140.0
2011-04-01,2856.0
2011-07-01,1782.0
2011-10-01,1732.3
2012-01-01,2642.8
2012-04-01,1419.8
2012-07-01,1648.5
2012-10-01,2041.8
2013-01-01,-332.5
