DATE,VALUE
1988-01-01,12988.0
1988-02-01,13505.0
1988-03-01,15176.0
1988-04-01,13369.0
1988-05-01,13154.0
1988-06-01,15530.0
1988-07-01,12960.0
1988-08-01,14961.0
1988-09-01,15540.0
1988-10-01,14373.0
1988-11-01,15306.0
1988-12-01,14430.0
1989-01-01,14946.0
1989-02-01,14855.0
1989-03-01,13668.0
1989-04-01,13946.0
1989-05-01,15161.0
1989-06-01,14164.0
1989-07-01,11135.0
1989-08-01,13189.0
1989-09-01,13156.0
1989-10-01,13445.0
1989-11-01,13386.0
1989-12-01,12427.0
1990-01-01,16404.0
1990-02-01,10364.0
1990-03-01,11886.0
1990-04-01,11687.0
1990-05-01,10445.0
1990-06-01,9994.0
1990-07-01,10364.0
1990-08-01,10467.0
1990-09-01,9152.0
1990-10-01,9038.0
1990-11-01,10118.0
1990-12-01,7474.0
1991-01-01,7736.0
1991-02-01,7870.0
1991-03-01,7248.0
1991-04-01,8246.0
1991-05-01,8942.0
1991-06-01,8306.0
1991-07-01,8622.0
1991-08-01,7999.0
1991-09-01,7470.0
1991-10-01,7747.0
1991-11-01,7531.0
1991-12-01,8969.0
1992-01-01,8068.0
1992-02-01,7880.0
1992-03-01,9381.0
1992-04-01,8467.0
1992-05-01,7335.0
1992-06-01,8514.0
1992-07-01,9041.0
1992-08-01,7984.0
1992-09-01,8723.0
1992-10-01,9361.0
1992-11-01,8593.0
1992-12-01,9266.0
1993-01-01,7852.0
1993-02-01,9834.0
1993-03-01,9333.0
1993-04-01,9894.0
1993-05-01,10136.0
1993-06-01,9837.0
1993-07-01,9347.0
1993-08-01,9979.0
1993-09-01,11204.0
1993-10-01,9338.0
1993-11-01,10741.0
1993-12-01,13473.0
1994-01-01,11273.0
1994-02-01,10611.0
1994-03-01,10704.0
1994-04-01,9908.0
1994-05-01,10218.0
1994-06-01,10309.0
1994-07-01,10891.0
1994-08-01,12598.0
1994-09-01,10558.0
1994-10-01,10487.0
1994-11-01,10632.0
1994-12-01,10206.0
1995-01-01,10364.0
1995-02-01,9435.0
1995-03-01,9930.0
1995-04-01,9592.0
1995-05-01,9700.0
1995-06-01,10359.0
1995-07-01,9468.0
1995-08-01,9918.0
1995-09-01,12791.0
1995-10-01,9536.0
1995-11-01,11034.0
1995-12-01,10609.0
1996-01-01,10125.0
1996-02-01,10822.0
1996-03-01,9138.0
1996-04-01,11017.0
1996-05-01,10941.0
1996-06-01,9860.0
1996-07-01,10191.0
1996-08-01,10832.0
1996-09-01,10828.0
