DATE,VALUE
1990-01-01,108284.0
1990-02-01,109717.0
1990-03-01,110975.0
1990-04-01,111317.0
1990-05-01,113541.0
1990-06-01,115074.0
1990-07-01,115478.0
1990-08-01,114332.0
1990-09-01,115899.0
1990-10-01,116910.0
1990-11-01,115455.0
1990-12-01,114062.0
1991-01-01,111423.0
1991-02-01,112900.0
1991-03-01,113728.0
1991-04-01,114955.0
1991-05-01,116320.0
1991-06-01,117079.0
1991-07-01,117018.0
1991-08-01,116209.0
1991-09-01,119100.0
1991-10-01,119589.0
1991-11-01,117090.0
1991-12-01,115334.0
1992-01-01,113460.0
1992-02-01,115169.0
1992-03-01,116698.0
1992-04-01,116766.0
1992-05-01,118296.0
1992-06-01,118426.0
1992-07-01,120532.0
1992-08-01,120152.0
1992-09-01,121157.0
1992-10-01,121164.0
1992-11-01,119913.0
1992-12-01,118463.0
1993-01-01,116291.0
1993-02-01,118519.0
1993-03-01,119829.0
1993-04-01,119096.0
1993-05-01,120524.0
1993-06-01,121904.0
1993-07-01,123209.0
1993-08-01,123679.0
1993-09-01,123062.0
1993-10-01,124890.0
1993-11-01,123022.0
1993-12-01,122057.0
1994-01-01,120432.0
1994-02-01,121794.0
1994-03-01,122561.0
1994-04-01,122992.0
1994-05-01,124123.0
1994-06-01,124587.0
1994-07-01,125995.0
1994-08-01,126056.0
1994-09-01,128245.0
1994-10-01,130285.0
1994-11-01,128611.0
1994-12-01,126737.0
1995-01-01,123766.0
1995-02-01,125392.0
1995-03-01,127581.0
1995-04-01,126998.0
1995-05-01,128006.0
1995-06-01,128634.0
1995-07-01,129919.0
1995-08-01,128449.0
1995-09-01,129599.0
1995-10-01,130841.0
1995-11-01,128575.0
1995-12-01,126988.0
1996-01-01,121995.0
1996-02-01,124113.0
1996-03-01,125847.0
1996-04-01,125186.0
1996-05-01,126734.0
1996-06-01,126223.0
1996-07-01,128775.0
1996-08-01,127674.0
1996-09-01,128779.0
1996-10-01,129371.0
1996-11-01,127371.0
1996-12-01,125701.0
1997-01-01,125059.0
1997-02-01,125673.0
1997-03-01,127383.0
1997-04-01,127252.0
1997-05-01,128800.0
1997-06-01,128476.0
1997-07-01,131169.0
1997-08-01,130327.0
1997-09-01,131193.0
1997-10-01,131585.0
1997-11-01,131060.0
1997-12-01,130344.0
1998-01-01,128435.0
1998-02-01,129401.0
1998-03-01,130734.0
1998-04-01,130728.0
1998-05-01,132861.0
1998-06-01,131512.0
1998-07-01,133686.0
1998-08-01,132950.0
1998-09-01,134279.0
1998-10-01,134406.0
1998-11-01,133369.0
1998-12-01,133064.0
1999-01-01,131842.0
1999-02-01,132764.0
1999-03-01,133805.0
1999-04-01,133523.0
1999-05-01,135089.0
1999-06-01,134180.0
1999-07-01,136172.0
1999-08-01,135496.0
1999-09-01,135653.0
1999-10-01,136895.0
1999-11-01,137093.0
1999-12-01,136362.0
2000-01-01,132567.0
2000-02-01,134254.0
2000-03-01,134884.0
2000-04-01,135432.0
2000-05-01,134802.0
2000-06-01,134970.0
2000-07-01,134352.0
2000-08-01,134833.0
2000-09-01,135501.0
2000-10-01,135428.0
2000-11-01,135148.0
