DATE,VALUE
1950-01-01,0.89
1951-01-01,0.89
1952-01-01,0.89
1953-01-01,0.89
1954-01-01,0.89
1955-01-01,0.89
1956-01-01,0.89
1957-01-01,0.89
1958-01-01,0.89
1959-01-01,0.89
1960-01-01,0.89
1961-01-01,0.89
1962-01-01,0.89
1963-01-01,0.89
1964-01-01,0.89
1965-01-01,0.89
1966-01-01,0.89
1967-01-01,0.89
1968-01-01,0.89
1969-01-01,0.89
1970-01-01,0.892857
1971-01-01,0.880607842
1972-01-01,0.819200569
1973-01-01,0.704113908
1974-01-01,0.695845222
1975-01-01,0.76390188
1976-01-01,0.818316895
1977-01-01,0.901861162
1978-01-01,0.873694282
1979-01-01,0.89467679
1980-01-01,0.878279549
1981-01-01,0.870249477
1982-01-01,0.985902365
1983-01-01,1.11005951
1984-01-01,1.13956486
1985-01-01,1.431952417
1986-01-01,1.496034154
1987-01-01,1.428237269
1988-01-01,1.274988445
1989-01-01,1.261232855
1990-01-01,1.280036865
1991-01-01,1.29611459
1992-01-01,1.347170685
1993-01-01,1.384088832
1994-01-01,1.320219604
1995-01-01,1.270942628
1996-01-01,1.231974399
1997-01-01,1.263518428
1998-01-01,1.492055371
1999-01-01,1.599132372
2000-01-01,1.758502604
2001-01-01,2.123574169
2002-01-01,2.195187335
2003-01-01,2.145892252
2004-01-01,1.971562793
2005-01-01,1.943036217
2006-01-01,2.025880795
2007-01-01,1.970933657
2008-01-01,1.942444257
2009-01-01,2.034493613
2010-01-01,1.8225
