DATE,VALUE
1929-01-01,3.69216
1930-01-01,4.4013
1931-01-01,4.02584
1932-01-01,3.23361
1933-01-01,3.49126
1934-01-01,4.42365
1935-01-01,4.85734
1936-01-01,4.62073
1937-01-01,5.79247
1938-01-01,7.72426
1939-01-01,6.73262
1940-01-01,6.36346
1941-01-01,6.73261
1942-01-01,8.81566
1943-01-01,11.81733
1944-01-01,19.47774
1945-01-01,19.78922
1946-01-01,17.25022
1947-01-01,15.41176
1948-01-01,15.12373
1949-01-01,14.44831
1950-01-01,13.13891
1951-01-01,14.86208
1952-01-01,17.99483
1953-01-01,17.86195
1954-01-01,17.82178
1955-01-01,15.35687
1956-01-01,16.57121
1957-01-01,16.84355
1958-01-01,16.52199
1959-01-01,15.16727
1960-01-01,17.02411
1961-01-01,16.75626
1962-01-01,16.47265
1963-01-01,16.6865
1964-01-01,16.42068
1965-01-01,15.70754
1966-01-01,16.05337
1967-01-01,17.27074
1968-01-01,16.23056
1969-01-01,18.32356
1970-01-01,17.92053
1971-01-01,16.02492
1972-01-01,16.1657
1973-01-01,16.15674
1974-01-01,16.99535
1975-01-01,16.52496
1976-01-01,15.87452
1977-01-01,17.04501
1978-01-01,16.95498
1979-01-01,17.60199
1980-01-01,18.06505
1981-01-01,18.6631
1982-01-01,18.46834
1983-01-01,16.50757
1984-01-01,16.49313
1985-01-01,16.88722
1986-01-01,16.75646
1987-01-01,17.54111
1988-01-01,17.31025
1989-01-01,17.51779
1990-01-01,17.25798
1991-01-01,17.08759
1992-01-01,16.68692
1993-01-01,16.78128
1994-01-01,17.21987
1995-01-01,17.63795
1996-01-01,17.93848
1997-01-01,18.34503
1998-01-01,18.94257
1999-01-01,18.91655
2000-01-01,19.69111
2001-01-01,18.74524
2002-01-01,16.88122
2003-01-01,15.48398
2004-01-01,15.31674
2005-01-01,16.44769
2006-01-01,17.37072
2007-01-01,17.73764
2008-01-01,17.14831
2009-01-01,14.59902
2010-01-01,14.45234
2011-01-01,14.84393
2012-01-01,15.16523
2013-01-01,16.62585
2014-01-01,17.37176
2015-01-01,18.01829
