DATE,VALUE
1959-01-01,0.7
1960-01-01,0.7
1961-01-01,0.8
1962-01-01,0.8
1963-01-01,0.8
1964-01-01,0.9
1965-01-01,0.9
1966-01-01,0.9
1967-01-01,1.1
1968-01-01,1.1
1969-01-01,1.1
1970-01-01,1.2
1971-01-01,1.4
1972-01-01,1.5
1973-01-01,1.7
1974-01-01,1.9
1975-01-01,2.0
1976-01-01,2.1
1977-01-01,2.3
1978-01-01,2.6
1979-01-01,3.0
1980-01-01,3.3
1981-01-01,3.6
1982-01-01,3.9
1983-01-01,4.4
1984-01-01,4.7
1985-01-01,4.8
1986-01-01,4.4
1987-01-01,4.6
1988-01-01,4.9
1989-01-01,5.0
1990-01-01,5.4
1991-01-01,6.0
1992-01-01,6.0
1993-01-01,6.1
1994-01-01,6.2
1995-01-01,6.0
1996-01-01,6.1
1997-01-01,6.0
1998-01-01,6.4
1999-01-01,6.6
2000-01-01,7.2
2001-01-01,7.6
2002-01-01,7.1
2003-01-01,8.7
2004-01-01,9.4
2005-01-01,9.8
2006-01-01,10.2
2007-01-01,9.9
2008-01-01,11.4
2009-01-01,12.0
2010-01-01,13.1
2011-01-01,12.6
2012-01-01,12.7
2013-01-01,12.2
2014-01-01,12.4
