DATE,VALUE
1990-01-01,4867.0
1990-02-01,4837.0
1990-03-01,4951.0
1990-04-01,4928.0
1990-05-01,4980.0
1990-06-01,5009.0
1990-07-01,4919.0
1990-08-01,4894.0
1990-09-01,4825.0
1990-10-01,4904.0
1990-11-01,4709.0
1990-12-01,4847.0
1991-01-01,4783.0
1991-02-01,4742.0
1991-03-01,4780.0
1991-04-01,4854.0
1991-05-01,4854.0
1991-06-01,4857.0
1991-07-01,4817.0
1991-08-01,4724.0
1991-09-01,4762.0
1991-10-01,4807.0
1991-11-01,4742.0
1991-12-01,4806.0
1992-01-01,4980.0
1992-02-01,5026.0
1992-03-01,4991.0
1992-04-01,4995.0
1992-05-01,5023.0
1992-06-01,5043.0
1992-07-01,5206.0
1992-08-01,5152.0
1992-09-01,5101.0
1992-10-01,4969.0
1992-11-01,4963.0
1992-12-01,5137.0
1993-01-01,5008.0
1993-02-01,4918.0
1993-03-01,4924.0
1993-04-01,4878.0
1993-05-01,4937.0
1993-06-01,4995.0
1993-07-01,5062.0
1993-08-01,4977.0
1993-09-01,4830.0
1993-10-01,4948.0
1993-11-01,4937.0
1993-12-01,4987.0
1994-01-01,5066.0
1994-02-01,5024.0
1994-03-01,5024.0
1994-04-01,5124.0
1994-05-01,5201.0
1994-06-01,5368.0
1994-07-01,5958.0
1994-08-01,5680.0
1994-09-01,5566.0
1994-10-01,5565.0
1994-11-01,5427.0
1994-12-01,5378.0
1995-01-01,5677.0
1995-02-01,5684.0
1995-03-01,5642.0
1995-04-01,5476.0
1995-05-01,5463.0
1995-06-01,5692.0
1995-07-01,5975.0
1995-08-01,5718.0
1995-09-01,5647.0
1995-10-01,5323.0
1995-11-01,5320.0
1995-12-01,5319.0
1996-01-01,5332.0
1996-02-01,5268.0
1996-03-01,5305.0
1996-04-01,5403.0
1996-05-01,5491.0
1996-06-01,5400.0
1996-07-01,5287.0
1996-08-01,5256.0
1996-09-01,5323.0
1996-10-01,5461.0
1996-11-01,5289.0
1996-12-01,5371.0
1997-01-01,5423.0
1997-02-01,5410.0
1997-03-01,5433.0
1997-04-01,5457.0
1997-05-01,5538.0
1997-06-01,5645.0
1997-07-01,5434.0
1997-08-01,5375.0
1997-09-01,5450.0
1997-10-01,5518.0
1997-11-01,5522.0
1997-12-01,5526.0
1998-01-01,5619.0
1998-02-01,5577.0
1998-03-01,5586.0
1998-04-01,5723.0
1998-05-01,5758.0
1998-06-01,5839.0
1998-07-01,5910.0
1998-08-01,5804.0
1998-09-01,6117.0
1998-10-01,5981.0
1998-11-01,5835.0
1998-12-01,5775.0
1999-01-01,5870.0
1999-02-01,5755.0
1999-03-01,5701.0
1999-04-01,5703.0
1999-05-01,5787.0
1999-06-01,5882.0
1999-07-01,5851.0
1999-08-01,5825.0
1999-09-01,5822.0
1999-10-01,5773.0
1999-11-01,5816.0
1999-12-01,5949.0
2000-01-01,5222.0
2000-02-01,5214.0
2000-03-01,5270.0
2000-04-01,5297.0
2000-05-01,5300.0
2000-06-01,5155.0
2000-07-01,5146.0
2000-08-01,5122.0
2000-09-01,5079.0
2000-10-01,5050.0
2000-11-01,5081.0
2000-12-01,5101.0
2001-01-01,5174.0
2001-02-01,5092.0
2001-03-01,5129.0
2001-04-01,4972.0
2001-05-01,5197.0
2001-06-01,5065.0
2001-07-01,4967.0
2001-08-01,5011.0
2001-09-01,5011.0
2001-10-01,5103.0
2001-11-01,5027.0
2001-12-01,5060.0
2002-01-01,5021.0
2002-02-01,5092.0
2002-03-01,5204.0
2002-04-01,5180.0
2002-05-01,5187.0
2002-06-01,5114.0
2002-07-01,5127.0
2002-08-01,5113.0
2002-09-01,5180.0
2002-10-01,5170.0
2002-11-01,5218.0
2002-12-01,5232.0
2003-01-01,5345.0
2003-02-01,5280.0
2003-03-01,5336.0
2003-04-01,5367.0
2003-05-01,5351.0
2003-06-01,5289.0
2003-07-01,5238.0
2003-08-01,5219.0
2003-09-01,5257.0
2003-10-01,5386.0
2003-11-01,5341.0
2003-12-01,5316.0
2004-01-01,5075.0
2004-02-01,5057.0
2004-03-01,5145.0
2004-04-01,5063.0
2004-05-01,5116.0
2004-06-01,5142.0
2004-07-01,5113.0
2004-08-01,5104.0
2004-09-01,5105.0
2004-10-01,5115.0
2004-11-01,5105.0
2004-12-01,5110.0
2005-01-01,5193.0
2005-02-01,5228.0
2005-03-01,5138.0
2005-04-01,5122.0
2005-05-01,5117.0
2005-06-01,5119.0
2005-07-01,4946.0
2005-08-01,4929.0
2005-09-01,5019.0
2005-10-01,5079.0
2005-11-01,5048.0
2005-12-01,5038.0
2006-01-01,5110.0
2006-02-01,5141.0
2006-03-01,5127.0
2006-04-01,5107.0
2006-05-01,5112.0
2006-06-01,5086.0
2006-07-01,5157.0
2006-08-01,5133.0
2006-09-01,5208.0
2006-10-01,5212.0
2006-11-01,5224.0
2006-12-01,5217.0
2007-01-01,5264.0
2007-02-01,5315.0
2007-03-01,5316.0
2007-04-01,5353.0
2007-05-01,5418.0
2007-06-01,5197.0
2007-07-01,5286.0
2007-08-01,5262.0
2007-09-01,5395.0
2007-10-01,5554.0
2007-11-01,5507.0
2007-12-01,5501.0
2008-01-01,5397.0
2008-02-01,5389.0
2008-03-01,5370.0
2008-04-01,5393.0
2008-05-01,5443.0
2008-06-01,5343.0
2008-07-01,5403.0
2008-08-01,5469.0
2008-09-01,5361.0
2008-10-01,5463.0
2008-11-01,5418.0
2008-12-01,5421.0
2009-01-01,5490.0
2009-02-01,5456.0
2009-03-01,5505.0
2009-04-01,5326.0
2009-05-01,5385.0
2009-06-01,5406.0
2009-07-01,5495.0
2009-08-01,5458.0
2009-09-01,5445.0
2009-10-01,5505.0
2009-11-01,5474.0
2009-12-01,5464.0
2010-01-01,5630.0
2010-02-01,5515.0
2010-03-01,5427.0
2010-04-01,5461.0
2010-05-01,5522.0
2010-06-01,5475.0
2010-07-01,5491.0
2010-08-01,5461.0
2010-09-01,5446.0
2010-10-01,5450.0
2010-11-01,5437.0
2010-12-01,5381.0
2011-01-01,5425.0
2011-02-01,5346.0
2011-03-01,5371.0
2011-04-01,5409.0
2011-05-01,5501.0
2011-06-01,5559.0
2011-07-01,5533.0
2011-08-01,5529.0
2011-09-01,5586.0
2011-10-01,5590.0
2011-11-01,5564.0
2011-12-01,5485.0
2012-01-01,5392.0
2012-02-01,5373.0
2012-03-01,5430.0
2012-04-01,5297.0
2012-05-01,5330.0
2012-06-01,5424.0
2012-07-01,5263.0
2012-08-01,5181.0
2012-09-01,5158.0
2012-10-01,5213.0
2012-11-01,5173.0
2012-12-01,5149.0
2013-01-01,4965.0
2013-02-01,4929.0
2013-03-01,4889.0
2013-04-01,4820.0
2013-05-01,4891.0
2013-06-01,4889.0
2013-07-01,4751.0
2013-08-01,4694.0
2013-09-01,4669.0
2013-10-01,4676.0
2013-11-01,4621.0
2013-12-01,4682.0
2014-01-01,4599.0
2014-02-01,4652.0
2014-03-01,4677.0
2014-04-01,4555.0
2014-05-01,4669.0
2014-06-01,4636.0
2014-07-01,4651.0
2014-08-01,4678.0
2014-09-01,4670.0
2014-10-01,4601.0
2014-11-01,4603.0
2014-12-01,4569.0
2015-01-01,4452.0
2015-02-01,4465.0
2015-03-01,4483.0
2015-04-01,4425.0
2015-05-01,4508.0
2015-06-01,4440.0
2015-07-01,4340.0
2015-08-01,4327.0
2015-09-01,4346.0
2015-10-01,4377.0
2015-11-01,4403.0
2015-12-01,4380.0
2016-01-01,4368.0
2016-02-01,4297.0
2016-03-01,4343.0
2016-04-01,4290.0
2016-05-01,4457.0
2016-06-01,4507.0
2016-07-01,4410.0
2016-08-01,4412.0
