DATE,VALUE
1990-01-01,261367.0
1990-02-01,263471.0
1990-03-01,263972.0
1990-04-01,262944.0
1990-05-01,264739.0
1990-06-01,266635.0
1990-07-01,268738.0
1990-08-01,268279.0
1990-09-01,265970.0
1990-10-01,265707.0
1990-11-01,267356.0
1990-12-01,267921.0
1991-01-01,264247.0
1991-02-01,264861.0
1991-03-01,265813.0
1991-04-01,264635.0
1991-05-01,266002.0
1991-06-01,269116.0
1991-07-01,270069.0
1991-08-01,267610.0
1991-09-01,266665.0
1991-10-01,266772.0
1991-11-01,267156.0
1991-12-01,268758.0
1992-01-01,267170.0
1992-02-01,272750.0
1992-03-01,274240.0
1992-04-01,273528.0
1992-05-01,276664.0
1992-06-01,279484.0
1992-07-01,282248.0
1992-08-01,280093.0
1992-09-01,278967.0
1992-10-01,279409.0
1992-11-01,281834.0
1992-12-01,283315.0
1993-01-01,281638.0
1993-02-01,284948.0
1993-03-01,284271.0
1993-04-01,284300.0
1993-05-01,288263.0
1993-06-01,290523.0
1993-07-01,293054.0
1993-08-01,293306.0
1993-09-01,289367.0
1993-10-01,293931.0
1993-11-01,295598.0
1993-12-01,297681.0
1994-01-01,296068.0
1994-02-01,298910.0
1994-03-01,298564.0
1994-04-01,298175.0
1994-05-01,299164.0
1994-06-01,300379.0
1994-07-01,302838.0
1994-08-01,304283.0
1994-09-01,303414.0
1994-10-01,306601.0
1994-11-01,307682.0
1994-12-01,308907.0
1995-01-01,304743.0
1995-02-01,306065.0
1995-03-01,307509.0
1995-04-01,307435.0
1995-05-01,307993.0
1995-06-01,309671.0
1995-07-01,313452.0
1995-08-01,313260.0
1995-09-01,312687.0
1995-10-01,315291.0
1995-11-01,316237.0
1995-12-01,316545.0
1996-01-01,311112.0
1996-02-01,313742.0
1996-03-01,315848.0
1996-04-01,315954.0
1996-05-01,319571.0
1996-06-01,322131.0
1996-07-01,331340.0
1996-08-01,326115.0
1996-09-01,326076.0
1996-10-01,329051.0
1996-11-01,331236.0
1996-12-01,331606.0
1997-01-01,327529.0
1997-02-01,329535.0
1997-03-01,332820.0
1997-04-01,331625.0
1997-05-01,334898.0
1997-06-01,336456.0
1997-07-01,339711.0
1997-08-01,339672.0
1997-09-01,339212.0
1997-10-01,340857.0
1997-11-01,344492.0
1997-12-01,346566.0
1998-01-01,342642.0
1998-02-01,344513.0
1998-03-01,347508.0
1998-04-01,346568.0
1998-05-01,349313.0
1998-06-01,348875.0
1998-07-01,351500.0
1998-08-01,351038.0
1998-09-01,351098.0
1998-10-01,353600.0
1998-11-01,356131.0
1998-12-01,357003.0
1999-01-01,354306.0
1999-02-01,356046.0
1999-03-01,356832.0
1999-04-01,357561.0
1999-05-01,360752.0
1999-06-01,360942.0
1999-07-01,364065.0
1999-08-01,363585.0
1999-09-01,362364.0
1999-10-01,365219.0
1999-11-01,366634.0
1999-12-01,368725.0
2000-01-01,355856.0
2000-02-01,357410.0
2000-03-01,358619.0
2000-04-01,358133.0
2000-05-01,359103.0
2000-06-01,361906.0
2000-07-01,362420.0
2000-08-01,360529.0
2000-09-01,359602.0
2000-10-01,361077.0
2000-11-01,362696.0
2000-12-01,366363.0
2001-01-01,361658.0
2001-02-01,362949.0
2001-03-01,364746.0
2001-04-01,361512.0
2001-05-01,360086.0
2001-06-01,362345.0
2001-07-01,364274.0
2001-08-01,360566.0
2001-09-01,363497.0
2001-10-01,364069.0
2001-11-01,366203.0
2001-12-01,367244.0
2002-01-01,358534.0
2002-02-01,361165.0
2002-03-01,362116.0
2002-04-01,361695.0
2002-05-01,363580.0
2002-06-01,364775.0
2002-07-01,364504.0
2002-08-01,365351.0
2002-09-01,366505.0
2002-10-01,366546.0
2002-11-01,366147.0
2002-12-01,368260.0
2003-01-01,359123.0
2003-02-01,360367.0
2003-03-01,361213.0
2003-04-01,360347.0
2003-05-01,360654.0
2003-06-01,362566.0
2003-07-01,361265.0
2003-08-01,359836.0
2003-09-01,359559.0
2003-10-01,360874.0
2003-11-01,363825.0
2003-12-01,364429.0
2004-01-01,358817.0
2004-02-01,359143.0
2004-03-01,359960.0
2004-04-01,358754.0
2004-05-01,359469.0
2004-06-01,360731.0
2004-07-01,363829.0
2004-08-01,362255.0
2004-09-01,361803.0
2004-10-01,364219.0
2004-11-01,367146.0
2004-12-01,368595.0
2005-01-01,360711.0
2005-02-01,362535.0
2005-03-01,363153.0
2005-04-01,365117.0
2005-05-01,367313.0
2005-06-01,367819.0
2005-07-01,371145.0
2005-08-01,370494.0
2005-09-01,374029.0
2005-10-01,375258.0
2005-11-01,376666.0
2005-12-01,377249.0
2006-01-01,366151.0
2006-02-01,367361.0
2006-03-01,368166.0
2006-04-01,368213.0
2006-05-01,370431.0
2006-06-01,372367.0
2006-07-01,374180.0
2006-08-01,373194.0
2006-09-01,374649.0
2006-10-01,378206.0
2006-11-01,380196.0
2006-12-01,382797.0
2007-01-01,377585.0
2007-02-01,377468.0
2007-03-01,378802.0
2007-04-01,375575.0
2007-05-01,376772.0
2007-06-01,379420.0
2007-07-01,383196.0
2007-08-01,380418.0
2007-09-01,382419.0
2007-10-01,382607.0
2007-11-01,385191.0
2007-12-01,387344.0
2008-01-01,382698.0
2008-02-01,381952.0
2008-03-01,384198.0
2008-04-01,384434.0
2008-05-01,386810.0
2008-06-01,387498.0
2008-07-01,390208.0
2008-08-01,388106.0
2008-09-01,375628.0
2008-10-01,373311.0
2008-11-01,372217.0
2008-12-01,373096.0
2009-01-01,374093.0
2009-02-01,375514.0
2009-03-01,374782.0
2009-04-01,373605.0
2009-05-01,374446.0
2009-06-01,374656.0
2009-07-01,377405.0
2009-08-01,374184.0
2009-09-01,374413.0
2009-10-01,374692.0
2009-11-01,375638.0
2009-12-01,374988.0
2010-01-01,387743.0
2010-02-01,379088.0
2010-03-01,376797.0
2010-04-01,377021.0
2010-05-01,377393.0
2010-06-01,377667.0
2010-07-01,380407.0
2010-08-01,380022.0
2010-09-01,380970.0
2010-10-01,380147.0
2010-11-01,382755.0
2010-12-01,383554.0
2011-01-01,380147.0
2011-02-01,380926.0
2011-03-01,382535.0
2011-04-01,381407.0
2011-05-01,383740.0
2011-06-01,383190.0
2011-07-01,385708.0
2011-08-01,385302.0
2011-09-01,387446.0
2011-10-01,387614.0
2011-11-01,388303.0
2011-12-01,389926.0
2012-01-01,386670.0
2012-02-01,387994.0
2012-03-01,387783.0
2012-04-01,386635.0
2012-05-01,388444.0
2012-06-01,389054.0
2012-07-01,390566.0
2012-08-01,387262.0
2012-09-01,389564.0
2012-10-01,390672.0
2012-11-01,389850.0
2012-12-01,391028.0
2013-01-01,389675.0
2013-02-01,388708.0
2013-03-01,387756.0
2013-04-01,388111.0
2013-05-01,389768.0
2013-06-01,390242.0
2013-07-01,391399.0
2013-08-01,387898.0
2013-09-01,389513.0
2013-10-01,387930.0
2013-11-01,389238.0
2013-12-01,389205.0
2014-01-01,389160.0
2014-02-01,390269.0
2014-03-01,392927.0
2014-04-01,391121.0
2014-05-01,393960.0
2014-06-01,394307.0
2014-07-01,397107.0
2014-08-01,393648.0
2014-09-01,393535.0
2014-10-01,395222.0
2014-11-01,395763.0
2014-12-01,395466.0
2015-01-01,395482.0
2015-02-01,396329.0
2015-03-01,396233.0
2015-04-01,397186.0
2015-05-01,400354.0
2015-06-01,398287.0
2015-07-01,400702.0
2015-08-01,396737.0
2015-09-01,396754.0
2015-10-01,399178.0
2015-11-01,399526.0
2015-12-01,400715.0
2016-01-01,399611.0
2016-02-01,402996.0
2016-03-01,405011.0
2016-04-01,404294.0
2016-05-01,405657.0
2016-06-01,409927.0
2016-07-01,414154.0
2016-08-01,410539.0
