DATE,VALUE
1955-01-01,5.2782416765
1955-04-01,5.29542684267
1955-07-01,5.3704035621
1955-10-01,5.49470340906
1956-01-01,5.56215508797
1956-04-01,5.64022144786
1956-07-01,5.72435354694
1956-10-01,5.83491214857
1957-01-01,5.71805636262
1957-04-01,5.80150644745
1957-07-01,5.95360412513
1957-10-01,6.0683485968
1958-01-01,6.04433005801
1958-04-01,6.10653582413
1958-07-01,6.08588495213
1958-10-01,6.14139891295
1959-01-01,6.11465971669
1959-04-01,6.22239745855
1959-07-01,6.1018913472
1959-10-01,6.15963723144
1960-01-01,6.11058125721
1960-04-01,6.21263398439
1960-07-01,6.19805820311
1960-10-01,6.28081954409
1961-01-01,6.30924342891
1961-04-01,6.2441527524
1961-07-01,6.48659601098
1961-10-01,6.42835636639
1962-01-01,6.47785062381
1962-04-01,6.57391240391
1962-07-01,6.59476696692
1962-10-01,6.64455930421
1963-01-01,6.5756819095
1963-04-01,6.62398022541
1963-07-01,6.67746988618
1963-10-01,6.72435669818
1964-01-01,6.69921594566
1964-04-01,6.81657919193
1964-07-01,6.9284850683
1964-10-01,7.0032757294
1965-01-01,7.14189918934
1965-04-01,7.17068845424
1965-07-01,7.26175766574
1965-10-01,7.32629672696
1966-01-01,7.40196461111
1966-04-01,7.46965169152
1966-07-01,7.5564670164
1966-10-01,7.64883076504
1967-01-01,7.62918575814
1967-04-01,7.72061881982
1967-07-01,7.723263857
1967-10-01,7.78173612646
1968-01-01,7.83581112462
1968-04-01,7.93737403486
1968-07-01,8.02983979073
1968-10-01,8.17077626898
1969-01-01,8.29962460435
1969-04-01,8.33622870552
1969-07-01,8.4365975535
1969-10-01,8.56437015242
1970-01-01,8.7643302365
1970-04-01,8.89389147637
1970-07-01,9.08046671532
1970-10-01,9.31398759918
1971-01-01,9.53691377026
1971-04-01,9.72946298555
1971-07-01,9.90215186881
1971-10-01,10.1258153046
1972-01-01,10.2516285031
1972-04-01,10.4527862312
1972-07-01,10.6269928969
