DATE,VALUE
1947-01-01,14.4
1947-04-01,13.7
1947-07-01,10.9
1947-10-01,16.6
1948-01-01,15.5
1948-04-01,13.2
1948-07-01,9.4
1948-10-01,8.0
1949-01-01,4.8
1949-04-01,1.2
1949-07-01,0.7
1949-10-01,0.2
1950-01-01,-2.5
1950-04-01,8.1
1950-07-01,19.3
1950-10-01,20.2
1951-01-01,24.1
1951-04-01,16.4
1951-07-01,10.9
1951-10-01,12.7
1952-01-01,13.5
1952-04-01,9.7
1952-07-01,8.7
1952-10-01,11.3
1953-01-01,12.0
1953-04-01,11.6
1953-07-01,11.9
1953-10-01,5.5
1954-01-01,5.2
1954-04-01,6.7
1954-07-01,7.3
1954-10-01,9.0
1955-01-01,12.3
1955-04-01,15.1
1955-07-01,15.8
1955-10-01,18.9
1956-01-01,20.0
1956-04-01,19.0
1956-07-01,19.7
1956-10-01,20.0
1957-01-01,19.9
1957-04-01,17.8
1957-07-01,17.7
1957-10-01,11.3
1958-01-01,7.8
1958-04-01,3.2
1958-07-01,6.1
1958-10-01,9.4
1959-01-01,15.1
1959-04-01,18.6
1959-07-01,17.1
1959-10-01,16.8
1960-01-01,26.7
1960-04-01,23.4
1960-07-01,22.0
1960-10-01,17.7
1961-01-01,17.8
1961-04-01,16.2
1961-07-01,18.5
1961-10-01,21.0
1962-01-01,19.3
1962-04-01,19.5
1962-07-01,21.5
1962-10-01,21.2
1963-01-01,23.3
1963-04-01,26.2
1963-07-01,26.4
1963-10-01,25.8
1964-01-01,23.6
1964-04-01,19.1
1964-07-01,22.9
1964-10-01,24.6
1965-01-01,28.8
1965-04-01,28.3
1965-07-01,21.3
1965-10-01,21.6
1966-01-01,28.4
1966-04-01,27.7
1966-07-01,25.9
1966-10-01,23.4
1967-01-01,15.3
1967-04-01,14.1
1967-07-01,15.9
1967-10-01,16.4
1968-01-01,19.2
1968-04-01,18.9
1968-07-01,26.9
1968-10-01,28.0
1969-01-01,40.3
1969-04-01,37.5
1969-07-01,31.6
1969-10-01,28.2
1970-01-01,19.3
1970-04-01,9.2
1970-07-01,2.4
1970-10-01,-4.1
1971-01-01,-5.1
1971-04-01,-10.8
1971-07-01,-10.0
1971-10-01,-10.1
1972-01-01,-0.6
1972-04-01,2.9
1972-07-01,5.5
1972-10-01,3.9
1973-01-01,17.5
1973-04-01,15.0
1973-07-01,19.1
1973-10-01,22.5
1974-01-01,19.9
1974-04-01,17.8
1974-07-01,20.9
1974-10-01,0.1
1975-01-01,-25.3
1975-04-01,-80.0
1975-07-01,-35.1
1975-10-01,-34.8
1976-01-01,-19.7
1976-04-01,-12.2
1976-07-01,-14.0
1976-10-01,-11.5
1977-01-01,-1.4
1977-04-01,7.5
1977-07-01,5.4
1977-10-01,3.5
1978-01-01,4.3
1978-04-01,31.4
1978-07-01,31.4
1978-10-01,39.2
1979-01-01,46.0
1979-04-01,47.7
1979-07-01,46.0
1979-10-01,36.6
1980-01-01,29.9
1980-04-01,4.0
1980-07-01,-3.6
1980-10-01,10.3
1981-01-01,35.2
1981-04-01,30.8
1981-07-01,26.3
1981-10-01,-6.6
1982-01-01,-26.5
1982-04-01,-30.4
1982-07-01,-66.1
1982-10-01,-100.2
1983-01-01,-98.7
1983-04-01,-81.0
1983-07-01,-88.4
1983-10-01,-59.8
1984-01-01,-33.2
1984-04-01,-35.6
1984-07-01,-45.1
1984-10-01,-48.4
1985-01-01,-8.5
1985-04-01,-56.4
1985-07-01,-35.2
1985-10-01,-40.4
1986-01-01,-29.6
1986-04-01,-55.6
1986-07-01,-55.8
1986-10-01,-25.6
1987-01-01,-30.2
1987-04-01,38.0
1987-07-01,21.2
1987-10-01,13.2
1988-01-01,20.1
1988-04-01,30.2
1988-07-01,45.6
1988-10-01,39.0
1989-01-01,63.7
1989-04-01,40.0
1989-07-01,31.2
1989-10-01,12.2
1990-01-01,0.7
1990-04-01,-8.7
1990-07-01,-5.1
1990-10-01,-24.9
1991-01-01,0.1
1991-04-01,-61.2
1991-07-01,-81.9
1991-10-01,-107.1
1992-01-01,-143.5
1992-04-01,-152.8
1992-07-01,-170.8
1992-10-01,-151.3
1993-01-01,-167.8
1993-04-01,-123.6
1993-07-01,-132.1
1993-10-01,-78.1
1994-01-01,-68.0
1994-04-01,-36.5
1994-07-01,-42.6
1994-10-01,-50.5
1995-01-01,-45.6
1995-04-01,-46.6
1995-07-01,-36.0
1995-10-01,-0.5
1996-01-01,4.8
1996-04-01,47.7
1996-07-01,65.6
1996-10-01,98.1
1997-01-01,122.1
1997-04-01,144.4
1997-07-01,188.3
1997-10-01,186.7
1998-01-01,243.8
1998-04-01,256.3
1998-07-01,292.0
1998-10-01,301.7
1999-01-01,320.3
1999-04-01,330.3
1999-07-01,346.1
1999-10-01,366.5
2000-01-01,471.1
2000-04-01,445.0
2000-07-01,439.7
2000-10-01,420.6
2001-01-01,389.1
2001-04-01,324.8
2001-07-01,80.3
2001-10-01,147.6
2002-01-01,-54.5
2002-04-01,-96.9
2002-07-01,-97.8
2002-10-01,-140.2
2003-01-01,-187.9
2003-04-01,-235.3
2003-07-01,-273.1
2003-10-01,-181.4
2004-01-01,-243.1
2004-04-01,-206.0
2004-07-01,-156.8
2004-10-01,-134.8
2005-01-01,-42.4
2005-04-01,-37.4
2005-07-01,-27.6
2005-10-01,8.7
2006-01-01,91.8
2006-04-01,102.4
