DATE,VALUE
1960-01-01,102.0661018
1961-01-01,102.0242946
1962-01-01,102.0325234
1963-01-01,102.0710004
1964-01-01,101.9444394
1965-01-01,101.986759
1966-01-01,102.0634933
1967-01-01,102.1248285
1968-01-01,102.1035544
1969-01-01,102.0504679
1970-01-01,102.0331696
1971-01-01,102.0631039
1972-01-01,102.2282812
1973-01-01,102.1793662
1974-01-01,102.1649514
1975-01-01,102.1596266
1976-01-01,102.1739146
1977-01-01,102.1820862
1978-01-01,102.1548766
1979-01-01,102.1039652
1980-01-01,102.0547944
1981-01-01,102.090587
1982-01-01,100.0
1983-01-01,100.0
1984-01-01,100.0
1985-01-01,100.0
1986-01-01,100.0
1987-01-01,100.0
1988-01-01,100.0
1989-01-01,100.0
1990-01-01,100.0
1991-01-01,100.0
1992-01-01,100.0
1993-01-01,100.0
1994-01-01,100.0
1995-01-01,100.0
1996-01-01,100.0
1997-01-01,100.0
1998-01-01,100.0
1999-01-01,100.0
2000-01-01,100.0
2001-01-01,100.0
2002-01-01,92.82121709
2003-01-01,99.85127609
2004-01-01,100.1462096
2005-01-01,100.1635403
2006-01-01,106.3124574
2007-01-01,104.5648126
2008-01-01,90.53107625
2009-01-01,88.49566575
2010-01-01,87.93196261
