DATE,VALUE
1972-01-01,891.3949
1972-04-01,896.6244
1972-07-01,901.2091
1972-10-01,914.1288
1973-01-01,912.2347
1973-04-01,911.0783
1973-07-01,904.764
1973-10-01,918.6101
1974-01-01,915.7131
1974-04-01,931.9809
1974-07-01,931.2599
1974-10-01,915.966
1975-01-01,890.1953
1975-04-01,897.8914
1975-07-01,924.5681
1975-10-01,938.7813
1976-01-01,957.7046
1976-04-01,969.9095
1976-07-01,980.4609
1976-10-01,995.7625
1977-01-01,1007.2652
1977-04-01,1002.3684
1977-07-01,1003.3118
1977-10-01,1017.9167
1978-01-01,1021.2761
1978-04-01,1035.2267
1978-07-01,1033.4815
1978-10-01,1044.2023
1979-01-01,1035.708
1979-04-01,1036.7934
1979-07-01,1029.2274
1979-10-01,1028.9336
1980-01-01,1034.6565
1980-04-01,1014.1217
1980-07-01,1006.3509
1980-10-01,1008.8472
1981-01-01,1021.8435
1981-04-01,1004.5177
1981-07-01,1013.4007
1981-10-01,1027.5517
1982-01-01,1024.5194
1982-04-01,1027.5934
1982-07-01,1035.866
1982-10-01,1036.8693
1983-01-01,1019.3939
1983-04-01,1041.2073
1983-07-01,1057.7093
1983-10-01,1044.3754
1984-01-01,1062.3585
1984-04-01,1065.3844
1984-07-01,1046.8145
1984-10-01,1059.2951
1985-01-01,1055.3554
1985-04-01,1063.5418
1985-07-01,1065.3189
1985-10-01,1070.3154
1986-01-01,1074.2467
1986-04-01,1079.31
1986-07-01,1080.7535
1986-10-01,1087.2712
1987-01-01,1093.3214
1987-04-01,1111.1035
1987-07-01,1130.093
1987-10-01,1145.3517
1988-01-01,1163.8372
1988-04-01,1157.879
1988-07-01,1163.6221
1988-10-01,1163.3776
1989-01-01,1160.902
1989-04-01,1160.3411
1989-07-01,1148.8844
1989-10-01,1167.3512
1990-01-01,1167.0608
1990-04-01,1167.6643
1990-07-01,1183.6223
1990-10-01,1176.8602
1991-01-01,1181.9329
1991-04-01,1191.9045
1991-07-01,1200.6758
1991-10-01,1200.9456
1992-01-01,1196.1996
1992-04-01,1202.7454
1992-07-01,1206.3825
1992-10-01,1220.392
1993-01-01,1220.9529
1993-04-01,1215.2784
1993-07-01,1230.9619
1993-10-01,1231.1724
1994-01-01,1236.7793
1994-04-01,1246.6054
1994-07-01,1252.7718
1994-10-01,1264.1164
1995-01-01,1270.8091
1995-04-01,1276.5276
1995-07-01,1291.8016
1995-10-01,1286.9331
1996-01-01,1297.916
1996-04-01,1298.9211
1996-07-01,1289.0304
1996-10-01,1308.5334
1997-01-01,1311.4934
1997-04-01,1316.6193
1997-07-01,1328.3648
1997-10-01,1349.3455
1998-01-01,1342.9194
1998-04-01,1355.4157
1998-07-01,1355.0969
1998-10-01,1336.7697
1999-01-01,1353.0044
1999-04-01,1349.3542
1999-07-01,1345.1701
1999-10-01,1364.4191
2000-01-01,1356.3228
2000-04-01,1368.577
2000-07-01,1371.9948
2000-10-01,1384.1578
2001-01-01,1383.3762
2001-04-01,1374.5161
2001-07-01,1369.5231
2001-10-01,1374.1344
2002-01-01,1385.5274
2002-04-01,1391.2846
2002-07-01,1388.6484
2002-10-01,1390.6661
2003-01-01,1400.3428
2003-04-01,1390.802
2003-07-01,1391.6883
2003-10-01,1388.2901
2004-01-01,1398.7572
2004-04-01,1405.5703
2004-07-01,1408.1029
2004-10-01,1431.5399
2005-01-01,1450.6351
2005-04-01,1464.0484
2005-07-01,1465.37
2005-10-01,1461.6275
2006-01-01,1455.2616
2006-04-01,1470.1607
2006-07-01,1486.0758
2006-10-01,1487.9877
2007-01-01,1504.0376
2007-04-01,1502.0826
2007-07-01,1507.2267
2007-10-01,1485.5293
2008-01-01,1486.6583
2008-04-01,1472.611
2008-07-01,1437.4172
2008-10-01,1465.5946
2009-01-01,1454.5472
2009-04-01,1440.2588
2009-07-01,1429.3617
2009-10-01,1431.5756
2010-01-01,1426.7227
2010-04-01,1425.7576
2010-07-01,1438.2367
2010-10-01,1436.1718
2011-01-01,1441.2764
2011-04-01,1444.1927
2011-07-01,1458.8316
2011-10-01,1440.6486
2012-01-01,1413.6525
2012-04-01,1419.3008
2012-07-01,1430.9212
2012-10-01,1432.4919
2013-01-01,1443.8771
2013-04-01,1451.4751
2013-07-01,1444.6153
2013-10-01,1450.6695
2014-01-01,1440.6977
2014-04-01,1437.3914
2014-07-01,1420.6126
2014-10-01,1435.3452
2015-01-01,1457.994
2015-04-01,1449.7753
2015-07-01,1465.278
2015-10-01,1443.9532
2016-01-01,1448.905
2016-04-01,1459.659
