DATE,VALUE
1970-01-01,1.5475747585
1971-01-01,1.565959692
1972-01-01,1.5845631361
1973-01-01,1.603387475
1974-01-01,1.6224354506
1975-01-01,1.6417098045
1976-01-01,1.6732507944
1977-01-01,1.7053977251
1978-01-01,1.7309736013
1979-01-01,1.7559808493
1980-01-01,1.7813493013
1981-01-01,1.8017926216
1982-01-01,1.822470665
1983-01-01,1.8433858156
1984-01-01,1.8645410538
1985-01-01,1.8859391212
1986-01-01,1.9012918472
1987-01-01,1.9167695045
1988-01-01,1.9323732853
1989-01-01,1.9481039047
1990-01-01,1.9639627934
1991-01-01,1.9862698317
1992-01-01,2.0088303089
1993-01-01,2.0316469669
1994-01-01,2.0547230244
1995-01-01,2.0780608654
1996-01-01,2.0987150669
1997-01-01,2.1195743084
1998-01-01,2.140640974
1999-01-01,2.1619172096
2000-01-01,2.1834046841
2001-01-01,2.213602066
2002-01-01,2.2442171574
2003-01-01,2.2752556801
2004-01-01,2.3067235947
2005-01-01,2.3386266232
2006-01-01,2.4031374454
2007-01-01,2.4694275856
2008-01-01,2.5375463963
2009-01-01,2.5919075012
2010-01-01,2.6398301125
2011-01-01,2.6939861774
2012-01-01,2.7512271404
2013-01-01,2.8117721081
2014-01-01,2.8758606911
