DATE,VALUE
1990-01-01,16133.0
1990-02-01,16227.0
1990-03-01,16262.0
1990-04-01,16271.0
1990-05-01,16340.0
1990-06-01,16422.0
1990-07-01,16504.0
1990-08-01,16495.0
1990-09-01,16230.0
1990-10-01,16319.0
1990-11-01,15878.0
1990-12-01,15721.0
1991-01-01,15646.0
1991-02-01,15650.0
1991-03-01,15741.0
1991-04-01,16843.0
1991-05-01,16953.0
1991-06-01,16945.0
1991-07-01,16803.0
1991-08-01,16666.0
1991-09-01,16522.0
1991-10-01,16366.0
1991-11-01,16298.0
1991-12-01,16324.0
1992-01-01,16365.0
1992-02-01,16798.0
1992-03-01,16836.0
1992-04-01,16894.0
1992-05-01,16943.0
1992-06-01,17037.0
1992-07-01,17140.0
1992-08-01,17163.0
1992-09-01,17149.0
1992-10-01,17175.0
1992-11-01,17222.0
1992-12-01,17285.0
1993-01-01,17398.0
1993-02-01,17512.0
1993-03-01,17592.0
1993-04-01,17665.0
1993-05-01,17714.0
1993-06-01,17729.0
1993-07-01,17790.0
1993-08-01,17914.0
1993-09-01,18003.0
1993-10-01,18058.0
1993-11-01,18116.0
1993-12-01,18192.0
1994-01-01,18355.0
1994-02-01,18482.0
1994-03-01,18463.0
1994-04-01,18434.0
1994-05-01,18453.0
1994-06-01,18477.0
1994-07-01,18465.0
1994-08-01,18504.0
1994-09-01,18599.0
1994-10-01,18549.0
1994-11-01,18395.0
1994-12-01,18270.0
1995-01-01,18188.0
1995-02-01,18235.0
1995-03-01,18463.0
1995-04-01,18748.0
1995-05-01,18841.0
1995-06-01,18808.0
1995-07-01,18905.0
1995-08-01,19028.0
1995-09-01,19033.0
1995-10-01,19023.0
1995-11-01,19026.0
1995-12-01,18992.0
1996-01-01,18991.0
1996-02-01,19135.0
1996-03-01,19372.0
1996-04-01,19559.0
1996-05-01,19697.0
1996-06-01,19730.0
1996-07-01,19654.0
1996-08-01,19675.0
1996-09-01,19801.0
1996-10-01,19937.0
1996-11-01,20072.0
1996-12-01,20152.0
1997-01-01,20953.0
1997-02-01,20988.0
1997-03-01,20971.0
1997-04-01,20891.0
1997-05-01,20828.0
1997-06-01,20746.0
1997-07-01,20609.0
1997-08-01,20501.0
1997-09-01,20519.0
1997-10-01,20647.0
1997-11-01,20724.0
1997-12-01,20768.0
1998-01-01,20835.0
1998-02-01,20799.0
1998-03-01,20738.0
1998-04-01,20789.0
1998-05-01,20799.0
1998-06-01,20665.0
1998-07-01,20566.0
1998-08-01,20544.0
1998-09-01,20519.0
1998-10-01,20564.0
1998-11-01,20609.0
1998-12-01,20595.0
1999-01-01,20628.0
1999-02-01,20748.0
1999-03-01,20877.0
1999-04-01,20914.0
1999-05-01,20931.0
1999-06-01,20988.0
1999-07-01,21038.0
1999-08-01,21041.0
1999-09-01,21037.0
1999-10-01,21130.0
1999-11-01,21237.0
1999-12-01,21265.0
2000-01-01,23145.0
2000-02-01,23364.0
2000-03-01,23551.0
2000-04-01,23630.0
2000-05-01,23723.0
2000-06-01,23902.0
2000-07-01,24087.0
2000-08-01,24212.0
2000-09-01,24318.0
2000-10-01,24378.0
2000-11-01,24399.0
2000-12-01,24458.0
2001-01-01,24445.0
2001-02-01,24367.0
2001-03-01,24361.0
2001-04-01,24392.0
2001-05-01,24400.0
2001-06-01,24336.0
2001-07-01,24229.0
2001-08-01,24162.0
2001-09-01,24185.0
2001-10-01,24262.0
2001-11-01,24314.0
2001-12-01,24343.0
2002-01-01,24446.0
2002-02-01,24630.0
2002-03-01,24749.0
2002-04-01,24808.0
2002-05-01,24883.0
2002-06-01,24982.0
2002-07-01,25115.0
2002-08-01,25267.0
2002-09-01,25374.0
2002-10-01,25460.0
2002-11-01,25609.0
2002-12-01,25704.0
2003-01-01,25639.0
2003-02-01,25525.0
2003-03-01,25471.0
2003-04-01,25468.0
2003-05-01,25528.0
2003-06-01,25548.0
2003-07-01,25521.0
2003-08-01,25662.0
2003-09-01,26003.0
2003-10-01,26369.0
2003-11-01,26599.0
2003-12-01,26725.0
2004-01-01,26855.0
2004-02-01,26969.0
2004-03-01,27030.0
2004-04-01,27028.0
2004-05-01,27076.0
2004-06-01,27246.0
2004-07-01,27348.0
2004-08-01,27395.0
2004-09-01,27602.0
2004-10-01,27911.0
2004-11-01,28126.0
2004-12-01,28251.0
2005-01-01,28417.0
2005-02-01,28557.0
2005-03-01,28608.0
2005-04-01,28614.0
2005-05-01,28563.0
2005-06-01,28569.0
2005-07-01,28655.0
