DATE,VALUE
1990-01-01,6995.0
1990-02-01,6954.0
1990-03-01,7008.0
1990-04-01,7205.0
1990-05-01,7282.0
1990-06-01,7493.0
1990-07-01,7261.0
1990-08-01,7021.0
1990-09-01,6927.0
1990-10-01,7049.0
1990-11-01,7117.0
1990-12-01,7081.0
1991-01-01,7221.0
1991-02-01,7203.0
1991-03-01,7164.0
1991-04-01,7229.0
1991-05-01,7183.0
1991-06-01,7384.0
1991-07-01,7326.0
1991-08-01,7195.0
1991-09-01,7282.0
1991-10-01,7291.0
1991-11-01,7246.0
1991-12-01,7201.0
1992-01-01,7277.0
1992-02-01,7259.0
1992-03-01,7342.0
1992-04-01,7359.0
1992-05-01,7307.0
1992-06-01,7730.0
1992-07-01,7556.0
1992-08-01,7425.0
1992-09-01,7444.0
1992-10-01,7533.0
1992-11-01,7463.0
1992-12-01,7419.0
1993-01-01,7484.0
1993-02-01,7541.0
1993-03-01,7691.0
1993-04-01,7493.0
1993-05-01,7617.0
1993-06-01,8009.0
1993-07-01,7845.0
1993-08-01,7651.0
1993-09-01,7513.0
1993-10-01,7633.0
1993-11-01,7455.0
1993-12-01,7369.0
1994-01-01,7531.0
1994-02-01,7604.0
1994-03-01,7699.0
1994-04-01,7704.0
1994-05-01,7846.0
1994-06-01,8088.0
1994-07-01,7643.0
1994-08-01,7529.0
1994-09-01,7605.0
1994-10-01,7635.0
1994-11-01,7704.0
1994-12-01,7610.0
1995-01-01,7599.0
1995-02-01,7572.0
1995-03-01,7641.0
1995-04-01,7625.0
1995-05-01,7733.0
1995-06-01,7843.0
1995-07-01,7522.0
1995-08-01,7584.0
1995-09-01,7550.0
1995-10-01,7564.0
1995-11-01,7552.0
1995-12-01,7511.0
1996-01-01,7523.0
1996-02-01,7549.0
1996-03-01,7781.0
1996-04-01,7745.0
1996-05-01,7954.0
1996-06-01,8162.0
1996-07-01,8113.0
1996-08-01,8029.0
1996-09-01,7873.0
1996-10-01,7697.0
1996-11-01,7584.0
1996-12-01,7572.0
1997-01-01,7717.0
1997-02-01,7732.0
1997-03-01,7752.0
1997-04-01,7760.0
1997-05-01,7873.0
1997-06-01,8052.0
1997-07-01,7977.0
1997-08-01,7867.0
1997-09-01,7766.0
1997-10-01,7850.0
1997-11-01,7816.0
1997-12-01,7816.0
1998-01-01,7710.0
1998-02-01,7543.0
1998-03-01,7588.0
1998-04-01,7573.0
1998-05-01,7632.0
1998-06-01,7990.0
1998-07-01,7770.0
1998-08-01,7762.0
1998-09-01,7713.0
1998-10-01,7764.0
1998-11-01,7727.0
1998-12-01,7678.0
1999-01-01,7820.0
1999-02-01,7707.0
1999-03-01,7800.0
1999-04-01,7939.0
1999-05-01,7976.0
1999-06-01,8349.0
1999-07-01,7960.0
1999-08-01,7942.0
1999-09-01,7709.0
1999-10-01,7771.0
1999-11-01,7798.0
1999-12-01,7773.0
2000-01-01,8026.0
2000-02-01,8046.0
2000-03-01,7934.0
2000-04-01,7984.0
2000-05-01,7946.0
2000-06-01,8232.0
2000-07-01,8198.0
2000-08-01,8115.0
2000-09-01,8005.0
2000-10-01,8081.0
2000-11-01,8072.0
2000-12-01,8154.0
2001-01-01,8066.0
2001-02-01,7994.0
2001-03-01,8033.0
2001-04-01,7930.0
2001-05-01,7889.0
