DATE,VALUE
1990-01-01,9149.0
1990-02-01,9140.0
1990-03-01,9333.0
1990-04-01,9376.0
1990-05-01,9441.0
1990-06-01,9676.0
1990-07-01,9882.0
1990-08-01,9408.0
1990-09-01,9057.0
1990-10-01,9296.0
1990-11-01,9135.0
1990-12-01,8969.0
1991-01-01,9167.0
1991-02-01,9302.0
1991-03-01,9221.0
1991-04-01,9280.0
1991-05-01,9270.0
1991-06-01,9512.0
1991-07-01,9769.0
1991-08-01,9493.0
1991-09-01,9200.0
1991-10-01,9353.0
1991-11-01,9339.0
1991-12-01,9349.0
1992-01-01,9307.0
1992-02-01,9335.0
1992-03-01,9390.0
1992-04-01,9351.0
1992-05-01,9362.0
1992-06-01,9802.0
1992-07-01,10253.0
1992-08-01,9851.0
1992-09-01,9591.0
1992-10-01,9649.0
1992-11-01,9396.0
1992-12-01,9483.0
1993-01-01,9172.0
1993-02-01,9121.0
1993-03-01,9218.0
1993-04-01,9225.0
1993-05-01,9280.0
1993-06-01,9751.0
1993-07-01,9854.0
1993-08-01,9702.0
1993-09-01,9439.0
1993-10-01,9646.0
1993-11-01,9445.0
1993-12-01,9424.0
1994-01-01,9339.0
1994-02-01,9468.0
1994-03-01,9464.0
1994-04-01,9521.0
1994-05-01,9668.0
1994-06-01,9951.0
1994-07-01,10024.0
1994-08-01,9557.0
1994-09-01,9482.0
1994-10-01,9708.0
1994-11-01,9786.0
1994-12-01,9805.0
1995-01-01,9825.0
1995-02-01,9741.0
1995-03-01,9876.0
1995-04-01,9707.0
1995-05-01,9788.0
1995-06-01,10118.0
1995-07-01,10180.0
1995-08-01,9753.0
1995-09-01,9576.0
1995-10-01,9651.0
1995-11-01,9670.0
1995-12-01,9664.0
1996-01-01,9768.0
1996-02-01,9787.0
1996-03-01,10034.0
1996-04-01,9899.0
1996-05-01,10014.0
1996-06-01,10356.0
1996-07-01,10210.0
1996-08-01,10060.0
1996-09-01,9854.0
1996-10-01,9931.0
1996-11-01,9752.0
1996-12-01,9743.0
1997-01-01,9918.0
1997-02-01,9845.0
1997-03-01,9862.0
1997-04-01,9772.0
1997-05-01,9955.0
1997-06-01,10154.0
1997-07-01,10121.0
1997-08-01,9800.0
1997-09-01,9743.0
1997-10-01,9912.0
1997-11-01,9842.0
1997-12-01,9854.0
1998-01-01,9735.0
1998-02-01,9525.0
1998-03-01,9522.0
1998-04-01,9566.0
1998-05-01,9634.0
1998-06-01,9928.0
1998-07-01,10029.0
1998-08-01,9660.0
1998-09-01,9701.0
1998-10-01,9639.0
1998-11-01,9524.0
1998-12-01,9632.0
1999-01-01,9702.0
1999-02-01,9581.0
1999-03-01,9683.0
1999-04-01,9710.0
1999-05-01,9779.0
1999-06-01,10133.0
1999-07-01,10175.0
1999-08-01,9685.0
1999-09-01,9593.0
1999-10-01,9659.0
1999-11-01,9671.0
1999-12-01,9621.0
2000-01-01,10415.0
2000-02-01,10397.0
2000-03-01,10414.0
2000-04-01,10259.0
2000-05-01,10104.0
2000-06-01,10329.0
2000-07-01,10354.0
2000-08-01,10332.0
2000-09-01,10306.0
2000-10-01,10574.0
2000-11-01,10594.0
2000-12-01,10657.0
2001-01-01,10510.0
2001-02-01,10480.0
2001-03-01,10484.0
2001-04-01,10416.0
2001-05-01,10270.0
2001-06-01,10505.0
2001-07-01,10457.0
2001-08-01,10425.0
2001-09-01,10439.0
2001-10-01,10518.0
2001-11-01,10663.0
2001-12-01,10636.0
2002-01-01,10645.0
2002-02-01,10774.0
2002-03-01,10757.0
2002-04-01,10780.0
2002-05-01,10681.0
2002-06-01,10766.0
2002-07-01,10647.0
2002-08-01,10528.0
2002-09-01,10523.0
2002-10-01,10649.0
2002-11-01,10662.0
2002-12-01,10566.0
2003-01-01,10628.0
2003-02-01,10627.0
2003-03-01,10625.0
2003-04-01,10553.0
2003-05-01,10348.0
2003-06-01,10398.0
2003-07-01,10359.0
2003-08-01,10215.0
2003-09-01,10191.0
2003-10-01,10307.0
2003-11-01,10396.0
2003-12-01,10423.0
2004-01-01,10468.0
2004-02-01,10527.0
2004-03-01,10474.0
2004-04-01,10185.0
2004-05-01,10197.0
2004-06-01,10333.0
