DATE,VALUE
1970-01-01,19.28
1971-01-01,20.0
1972-01-01,20.0
1973-01-01,20.7
1974-01-01,20.9
1975-01-01,21.0
1976-01-01,21.0
1977-01-01,21.2
1978-01-01,21.5
1979-01-01,22.0
1980-01-01,21.997
1981-01-01,21.737
1982-01-01,21.504
1983-01-01,21.44
1984-01-01,21.519
1985-01-01,21.515
1986-01-01,21.664
1987-01-01,21.863
1988-01-01,22.194
1989-01-01,22.449
1990-01-01,22.841
1991-01-01,22.832
1992-01-01,22.483
1993-01-01,22.216
1994-01-01,22.18
1995-01-01,22.524
1996-01-01,23.253
1997-01-01,23.615
1998-01-01,23.836
1999-01-01,23.538
2000-01-01,23.532
2001-01-01,23.228
2002-01-01,23.38
2003-01-01,23.357
2004-01-01,23.329
2005-01-01,23.411
2006-01-01,23.379
2007-01-01,23.3
2008-01-01,23.434
2009-01-01,23.412
2010-01-01,23.357
2011-01-01,23.207
2012-01-01,23.193
2013-01-01,23.188
2014-01-01,23.037
2015-01-01,22.958
