DATE,VALUE
1967-01-01,1.0643
1967-02-01,1.1927
1967-03-01,1.0522
1967-04-01,0.7978
1967-05-01,0.8012
1967-06-01,0.6586
1967-07-01,0.5795
1967-08-01,0.9999
1967-09-01,1.1823
1967-10-01,1.3244
1967-11-01,1.3781
1967-12-01,1.1016
1968-01-01,0.9115
1968-02-01,1.1057
1968-03-01,1.039
1968-04-01,0.9012
1968-05-01,1.0087
1968-06-01,1.0012
1968-07-01,0.8018
1968-08-01,1.1787
1968-09-01,1.2949
1968-10-01,1.456
1968-11-01,1.3919
1968-12-01,1.0466
1969-01-01,1.1915
1969-02-01,1.3069
1969-03-01,1.2263
1969-04-01,1.0946
1969-05-01,1.1121
1969-06-01,1.0272
1969-07-01,0.7854
1969-08-01,1.198
1969-09-01,1.2512
1969-10-01,1.4385
1969-11-01,1.1818
1969-12-01,0.8162
1970-01-01,0.848
1970-02-01,1.0464
1970-03-01,0.9757
1970-04-01,0.7535
1970-05-01,0.7811
1970-06-01,0.8923
1970-07-01,0.7113
1970-08-01,1.2076
1970-09-01,1.3076
1970-10-01,1.4241
1970-11-01,1.2965
1970-12-01,1.0388
1971-01-01,0.9821
1971-02-01,1.0969
1971-03-01,1.0661
1971-04-01,1.1595
1971-05-01,1.1916
1971-06-01,1.1201
1971-07-01,0.8642
1971-08-01,1.1576
1971-09-01,1.1943
1971-10-01,1.3329
1971-11-01,1.2863
1971-12-01,1.1538
1972-01-01,1.1838
1972-02-01,1.2766
1972-03-01,1.239
1972-04-01,1.2036
1972-05-01,1.2649
1972-06-01,1.2976
1972-07-01,0.9474
1972-08-01,1.2262
1972-09-01,1.4577
1972-10-01,1.4901
1972-11-01,1.4985
1972-12-01,1.3761
1973-01-01,1.4317
1973-02-01,1.6686
1973-03-01,1.5596
1973-04-01,1.3633
1973-05-01,1.4796
1973-06-01,1.6121
1973-07-01,1.1016
1973-08-01,1.5477
1973-09-01,1.6457
1973-10-01,1.7249
1973-11-01,1.6063
1973-12-01,1.3329
1974-01-01,1.1912
1974-02-01,1.4882
1974-03-01,1.5137
1974-04-01,1.4212
1974-05-01,1.3863
1974-06-01,1.4528
1974-07-01,1.0552
1974-08-01,1.3594
1974-09-01,1.406
1974-10-01,1.6659
1974-11-01,1.6693
1974-12-01,1.0379
1975-01-01,1.0634
1975-02-01,1.0415
1975-03-01,0.9363
1975-04-01,1.1622
1975-05-01,1.2827
1975-06-01,1.161
1975-07-01,1.141
1975-08-01,1.3415
1975-09-01,1.5079
1975-10-01,1.5447
1975-11-01,1.2515
1975-12-01,1.0217
1976-01-01,1.3031
1976-02-01,1.3187
1976-03-01,1.3009
1976-04-01,1.2533
1976-05-01,1.496
1976-06-01,1.4372
1976-07-01,1.1005
1976-08-01,1.578
1976-09-01,1.592
1976-10-01,1.7541
1976-11-01,1.5957
1976-12-01,1.2555
1977-01-01,1.4544
1977-02-01,1.5353
1977-03-01,1.5031
1977-04-01,1.6036
1977-05-01,1.7725
1977-06-01,1.6242
1977-07-01,1.5398
1977-08-01,1.5242
1977-09-01,1.9207
1977-10-01,1.9788
1977-11-01,1.9385
1977-12-01,1.5346
1978-01-01,1.5745
1978-02-01,1.7368
1978-03-01,1.8493
1978-04-01,1.9022
1978-05-01,1.7868
1978-06-01,1.8496
1978-07-01,1.5831
1978-08-01,1.8008
1978-09-01,2.2113
1978-10-01,2.1387
1978-11-01,1.9006
1978-12-01,1.8245
1979-01-01,1.7105
1979-02-01,1.9664
1979-03-01,2.0004
1979-04-01,1.6898
1979-05-01,1.8797
1979-06-01,2.008
1979-07-01,1.7003
1979-08-01,1.7415
1979-09-01,1.84
1979-10-01,2.0365
1979-11-01,1.9771
1979-12-01,1.7213
1980-01-01,1.7687
1980-02-01,1.9834
1980-03-01,1.9685
1980-04-01,1.8883
1980-05-01,2.0017
1980-06-01,1.9956
1980-07-01,1.6492
1980-08-01,1.692
1980-09-01,2.0556
1980-10-01,2.0702
1980-11-01,2.1446
1980-12-01,1.7788
1981-01-01,1.9445
1981-02-01,1.9488
1981-03-01,1.9983
1981-04-01,1.8365
1981-05-01,1.8687
