DATE,VALUE
1954-01-01,8.0744
1954-04-01,7.6875
1954-07-01,7.8435
1954-10-01,8.5986
1955-01-01,8.6859
1955-04-01,8.7483
1955-07-01,8.9355
1955-10-01,9.9152
1956-01-01,9.7654
1956-04-01,10.1772
1956-07-01,10.6265
1956-10-01,10.9135
1957-01-01,11.2255
1957-04-01,11.0758
1957-07-01,11.2817
1957-10-01,12.2177
1958-01-01,12.018
1958-04-01,11.887
1958-07-01,12.5546
1958-10-01,12.9852
1959-01-01,13.3221
1959-04-01,13.5842
1959-07-01,13.9087
1959-10-01,14.3143
1960-01-01,14.2082
1960-04-01,14.5888
1960-07-01,14.5764
1960-10-01,15.1379
1961-01-01,14.7885
1961-04-01,15.8431
1961-07-01,15.6808
1961-10-01,16.5606
1962-01-01,16.467
1962-04-01,17.0536
1962-07-01,17.1659
1962-10-01,17.6464
1963-01-01,17.3469
1963-04-01,18.7945
1963-07-01,19.6806
1963-10-01,19.0504
1964-01-01,17.8336
1964-04-01,20.0113
1964-07-01,21.0159
1964-10-01,20.523
1965-01-01,20.7476
1965-04-01,21.7522
1965-07-01,22.9316
1965-10-01,22.2577
1966-01-01,22.0767
1966-04-01,23.7615
1966-07-01,25.0905
1966-10-01,25.0157
1967-01-01,23.7475
1967-04-01,24.9645
1967-07-01,26.9724
1967-10-01,26.3904
1968-01-01,25.0959
1968-04-01,27.559
1968-07-01,29.9824
1968-10-01,28.9168
1969-01-01,27.3577
1969-04-01,28.4981
1969-07-01,31.2034
1969-10-01,29.9631
1970-01-01,28.9157
1970-04-01,32.0865
1970-07-01,34.1795
1970-10-01,32.0469
1971-01-01,30.15
1971-04-01,33.4163
1971-07-01,36.214
1971-10-01,34.5597
1972-01-01,33.8196
1972-04-01,36.0723
1972-07-01,38.5874
1972-10-01,38.389
1973-01-01,38.0395
1973-04-01,39.2848
1973-07-01,40.0956
1973-10-01,40.6005
1974-01-01,39.915
1974-04-01,41.6385
1974-07-01,43.2976
1974-10-01,41.7757
1975-01-01,39.3353
1975-04-01,39.2573
1975-07-01,40.9248
1975-10-01,41.0735
1976-01-01,41.6799
1976-04-01,42.6059
1976-07-01,45.1875
1976-10-01,45.2651
1977-01-01,44.4015
1977-04-01,45.2328
1977-07-01,46.2041
1977-10-01,46.0801
1978-01-01,46.2422
1978-04-01,48.2969
1978-07-01,50.0023
1978-10-01,48.5827
1979-01-01,47.9794
1979-04-01,47.6055
1979-07-01,49.5353
1979-10-01,48.6483
1980-01-01,48.6059
1980-04-01,48.0554
1980-07-01,48.1504
1980-10-01,48.2411
1981-01-01,47.8777
1981-04-01,48.6669
1981-07-01,50.3599
1981-10-01,49.0206
1982-01-01,48.188
1982-04-01,48.5801
1982-07-01,50.5678
1982-10-01,49.1633
1983-01-01,48.5283
1983-04-01,49.0139
1983-07-01,50.953
1983-10-01,50.1273
1984-01-01,50.5157
1984-04-01,50.4808
1984-07-01,51.6973
1984-10-01,50.5651
1985-01-01,50.3608
1985-04-01,50.7113
1985-07-01,52.1986
1985-10-01,52.1057
1986-01-01,52.9025
1986-04-01,55.0501
1986-07-01,56.9194
1986-10-01,56.4186
1987-01-01,56.9557
1987-04-01,58.3647
1987-07-01,62.1215
1987-10-01,61.1167
1988-01-01,61.9173
1988-04-01,63.1631
1988-07-01,64.7955
1988-10-01,63.0111
1989-01-01,62.8772
1989-04-01,63.622
1989-07-01,65.9012
1989-10-01,65.5916
1990-01-01,65.6767
1990-04-01,65.8666
1990-07-01,68.7567
1990-10-01,67.3284
1991-01-01,67.8258
1991-04-01,69.1846
1991-07-01,71.1134
1991-10-01,69.0592
1992-01-01,67.9677
1992-04-01,68.0712
1992-07-01,69.9607
1992-10-01,70.3935
1993-01-01,70.82
1993-04-01,70.2149
1993-07-01,72.3753
1993-10-01,70.5298
1994-01-01,71.3044
1994-04-01,72.4741
1994-07-01,73.4501
1994-10-01,72.9282
1995-01-01,74.579
1995-04-01,73.1416
1995-07-01,76.7702
1995-10-01,78.0338
1996-01-01,78.519
1996-04-01,77.0219
1996-07-01,80.6011
1996-10-01,81.1488
1997-01-01,82.3352
1997-04-01,82.1076
1997-07-01,84.1628
1997-10-01,86.5403
1998-01-01,88.6673
1998-04-01,87.6347
1998-07-01,87.5137
1998-10-01,88.1215
1999-01-01,90.0159
1999-04-01,88.5686
1999-07-01,86.8113
1999-10-01,92.6396
2000-01-01,91.8549
2000-04-01,92.739
2000-07-01,91.4936
2000-10-01,95.326
2001-01-01,96.8142
2001-04-01,95.062
2001-07-01,96.8705
2001-10-01,103.402
2002-01-01,106.2278
2002-04-01,105.0868
2002-07-01,106.3237
2002-10-01,107.086
2003-01-01,109.8548
2003-04-01,108.2607
2003-07-01,107.7837
2003-10-01,109.0682
2004-01-01,110.6652
2004-04-01,110.6429
2004-07-01,110.489
2004-10-01,114.0349
2005-01-01,116.1273
2005-04-01,118.9347
2005-07-01,117.1699
2005-10-01,116.8835
2006-01-01,118.5777
2006-04-01,121.5466
2006-07-01,121.9944
2006-10-01,123.8845
2007-01-01,123.2479
2007-04-01,122.616
2007-07-01,121.7051
2007-10-01,121.9537
2008-01-01,121.1657
2008-04-01,119.1446
2008-07-01,116.6939
2008-10-01,115.2445
2009-01-01,112.2694
2009-04-01,108.8284
2009-07-01,107.4239
2009-10-01,107.1655
2010-01-01,105.3671
2010-04-01,104.5667
2010-07-01,102.2408
2010-10-01,103.4632
2011-01-01,104.2359
2011-04-01,106.332
2011-07-01,106.5502
2011-10-01,105.8808
2012-01-01,104.2617
2012-04-01,101.951
2012-07-01,97.4793
2012-10-01,96.3079
2013-01-01,93.2427
2013-04-01,91.852
2013-07-01,89.7956
2013-10-01,88.5881
2014-01-01,88.6547
2014-04-01,90.8842
2014-07-01,92.2343
2014-10-01,92.9974
2015-01-01,94.6609
2015-04-01,93.5626
2015-07-01,93.1286
2015-10-01,93.4363
2016-01-01,93.4771
2016-04-01,93.9457
