DATE,VALUE
1972-01-01,213.1734
1972-02-01,225.404
1972-03-01,235.4084
1972-04-01,239.9197
1972-05-01,244.5075
1972-06-01,234.1925
1972-07-01,213.9837
1972-08-01,224.8514
1972-09-01,238.0091
1972-10-01,254.0376
1972-11-01,260.5265
1972-12-01,245.8721
1973-01-01,224.9351
1973-02-01,238.4147
1973-03-01,247.7582
1973-04-01,252.9468
1973-05-01,257.7063
1973-06-01,247.0648
1973-07-01,222.896
1973-08-01,228.7351
1973-09-01,234.8475
1973-10-01,245.8983
1973-11-01,254.7876
1973-12-01,242.9212
1974-01-01,224.9688
1974-02-01,236.6641
1974-03-01,243.8981
1974-04-01,249.4873
1974-05-01,255.4525
1974-06-01,245.4463
1974-07-01,222.6869
1974-08-01,231.3426
1974-09-01,243.7456
1974-10-01,254.9834
1974-11-01,258.9789
1974-12-01,236.0349
1975-01-01,212.3435
1975-02-01,218.5119
1975-03-01,226.2245
1975-04-01,234.418
1975-05-01,238.5464
1975-06-01,229.3426
1975-07-01,207.3932
1975-08-01,213.6353
1975-09-01,224.3014
1975-10-01,236.784
1975-11-01,241.925
1975-12-01,229.2458
1976-01-01,211.4757
1976-02-01,221.6604
1976-03-01,230.769
1976-04-01,234.5257
1976-05-01,239.8352
1976-06-01,229.9099
1976-07-01,211.1876
1976-08-01,219.1354
1976-09-01,232.4762
1976-10-01,247.2992
1976-11-01,255.4065
1976-12-01,241.5549
1977-01-01,218.9731
1977-02-01,230.3472
1977-03-01,237.628
1977-04-01,245.9187
1977-05-01,248.1892
1977-06-01,240.1993
1977-07-01,220.0918
1977-08-01,227.588
1977-09-01,241.8299
1977-10-01,256.4966
1977-11-01,262.635
1977-12-01,248.0481
1978-01-01,225.7582
1978-02-01,239.6024
1978-03-01,248.2094
1978-04-01,257.2979
1978-05-01,257.1611
1978-06-01,247.4718
1978-07-01,224.4474
1978-08-01,229.0884
1978-09-01,238.0003
1978-10-01,255.7444
1978-11-01,265.1416
1978-12-01,254.5137
1979-01-01,230.5399
1979-02-01,246.0851
1979-03-01,255.7509
1979-04-01,261.5114
1979-05-01,258.7408
1979-06-01,248.3907
1979-07-01,230.9512
1979-08-01,242.0352
1979-09-01,257.4938
1979-10-01,271.9068
1979-11-01,274.3017
1979-12-01,260.5442
1980-01-01,234.9126
1980-02-01,251.4864
1980-03-01,257.2094
1980-04-01,261.766
1980-05-01,258.2978
1980-06-01,248.7449
1980-07-01,232.5815
1980-08-01,242.3194
1980-09-01,258.2426
1980-10-01,273.9021
1980-11-01,279.0669
1980-12-01,266.2687
1981-01-01,239.5352
1981-02-01,255.0241
1981-03-01,262.2279
1981-04-01,270.1116
1981-05-01,268.5208
1981-06-01,259.4331
1981-07-01,240.9959
1981-08-01,250.7328
1981-09-01,263.7942
1981-10-01,278.522
1981-11-01,281.9857
1981-12-01,267.0932
1982-01-01,239.4362
1982-02-01,255.6789
1982-03-01,261.2728
1982-04-01,265.2534
1982-05-01,260.2097
1982-06-01,249.0194
1982-07-01,230.4955
1982-08-01,240.3797
1982-09-01,254.1509
1982-10-01,269.6174
1982-11-01,275.4421
1982-12-01,262.4561
1983-01-01,234.6284
1983-02-01,250.6938
1983-03-01,255.7954
1983-04-01,264.1417
1983-05-01,264.1093
1983-06-01,254.5519
1983-07-01,236.4144
1983-08-01,245.7873
1983-09-01,261.7617
1983-10-01,279.7648
1983-11-01,285.3093
1983-12-01,268.0624
1984-01-01,239.9304
1984-02-01,258.6208
1984-03-01,266.0673
1984-04-01,272.6327
1984-05-01,271.7403
1984-06-01,264.1583
1984-07-01,246.1879
1984-08-01,258.1001
1984-09-01,268.2849
1984-10-01,281.5783
1984-11-01,285.3507
1984-12-01,268.2017
1985-01-01,238.5352
1985-02-01,259.1085
1985-03-01,264.0869
1985-04-01,271.8356
1985-05-01,272.0175
1985-06-01,265.2086
1985-07-01,246.5304
1985-08-01,258.4415
1985-09-01,273.1234
1985-10-01,287.3578
1985-11-01,293.0844
1985-12-01,276.731
1986-01-01,249.4326
1986-02-01,270.3926
1986-03-01,274.4834
1986-04-01,283.8768
1986-05-01,285.1514
1986-06-01,278.7042
1986-07-01,258.8546
1986-08-01,270.6249
1986-09-01,283.8799
1986-10-01,294.5318
1986-11-01,298.1508
1986-12-01,274.3475
1987-01-01,248.6552
1987-02-01,268.9413
1987-03-01,277.7031
1987-04-01,283.3562
1987-05-01,283.0772
1987-06-01,276.5874
1987-07-01,257.958
1987-08-01,272.3256
1987-09-01,286.8945
1987-10-01,297.7178
1987-11-01,301.1801
1987-12-01,276.1862
1988-01-01,250.6452
1988-02-01,268.7281
1988-03-01,274.3884
1988-04-01,276.3194
1988-05-01,272.9591
1988-06-01,267.264
1988-07-01,248.4678
1988-08-01,262.7004
1988-09-01,277.9618
1988-10-01,289.0943
1988-11-01,292.446
1988-12-01,269.0005
1989-01-01,249.0745
1989-02-01,266.0026
1989-03-01,271.8034
