DATE,VALUE
1972-01-01,161.2179
1972-04-01,158.8549
1972-07-01,157.4597
1972-10-01,155.8454
1973-01-01,153.2695
1973-04-01,145.1585
1973-07-01,140.3607
1973-10-01,142.514
1974-01-01,138.8162
1974-04-01,145.3907
1974-07-01,141.2891
1974-10-01,118.7313
1975-01-01,121.3867
1975-04-01,127.6011
1975-07-01,139.1773
1975-10-01,141.7796
1976-01-01,147.3878
1976-04-01,146.0315
1976-07-01,152.5534
1976-10-01,156.2522
1977-01-01,155.7538
1977-04-01,154.1521
1977-07-01,159.1007
1977-10-01,162.8965
1978-01-01,169.1973
1978-04-01,167.087
1978-07-01,156.5206
1978-10-01,154.8019
1979-01-01,139.6658
1979-04-01,132.7342
1979-07-01,129.743
1979-10-01,126.2052
1980-01-01,125.0892
1980-04-01,96.9053
1980-07-01,133.5072
1980-10-01,137.0461
1981-01-01,139.5226
1981-04-01,132.8195
1981-07-01,119.3569
1981-10-01,101.6166
1982-01-01,102.1228
1982-04-01,107.3382
1982-07-01,120.5647
1982-10-01,123.1583
1983-01-01,128.7819
1983-04-01,132.3776
1983-07-01,135.0893
1983-10-01,133.9216
1984-01-01,136.191
1984-04-01,136.7082
1984-07-01,138.2241
1984-10-01,141.2972
1985-01-01,138.4982
1985-04-01,139.6634
1985-07-01,143.6055
1985-10-01,140.703
1986-01-01,149.2825
1986-04-01,150.9738
1986-07-01,148.7125
1986-10-01,153.0891
1987-01-01,159.7075
1987-04-01,161.5881
1987-07-01,165.2983
1987-10-01,155.7912
1988-01-01,165.7311
1988-04-01,159.6266
1988-07-01,150.4938
1988-10-01,153.6799
1989-01-01,150.3908
1989-04-01,150.8153
1989-07-01,150.7597
1989-10-01,155.8767
1990-01-01,153.6071
1990-04-01,150.62
1990-07-01,141.9103
1990-10-01,136.0659
1991-01-01,125.8207
1991-04-01,131.8839
1991-07-01,137.9675
1991-10-01,136.1614
1992-01-01,137.0401
1992-04-01,135.1798
1992-07-01,137.0459
1992-10-01,134.6869
1993-01-01,136.2009
1993-04-01,133.8318
1993-07-01,134.1329
1993-10-01,135.9975
1994-01-01,135.777
1994-04-01,138.4672
1994-07-01,136.8204
1994-10-01,138.4959
1995-01-01,139.8602
1995-04-01,134.6812
1995-07-01,140.3348
1995-10-01,140.5717
1996-01-01,137.3217
1996-04-01,138.5992
1996-07-01,133.6574
1996-10-01,126.3723
1997-01-01,132.139
1997-04-01,128.3764
1997-07-01,126.6534
1997-10-01,130.383
1998-01-01,129.8125
1998-04-01,132.7927
1998-07-01,133.8855
1998-10-01,134.4118
1999-01-01,129.6029
1999-04-01,125.8668
1999-07-01,125.3845
1999-10-01,129.9654
2000-01-01,139.8671
2000-04-01,138.0962
2000-07-01,137.9365
2000-10-01,135.0805
2001-01-01,127.2329
2001-04-01,128.9048
2001-07-01,126.0442
2001-10-01,123.8193
2002-01-01,127.9315
2002-04-01,128.8467
2002-07-01,125.5608
2002-10-01,123.2008
2003-01-01,120.8526
2003-04-01,121.4163
2003-07-01,127.9247
2003-10-01,131.7084
2004-01-01,126.2202
2004-04-01,121.7524
2004-07-01,124.5795
2004-10-01,127.1766
2005-01-01,131.4406
2005-04-01,130.8749
2005-07-01,130.3027
2005-10-01,138.9707
2006-01-01,143.5925
2006-04-01,135.3515
2006-07-01,126.6836
2006-10-01,122.6554
2007-01-01,122.4426
2007-04-01,124.912
2007-07-01,116.0178
2007-10-01,112.715
2008-01-01,112.0516
2008-04-01,107.6967
2008-07-01,103.8345
2008-10-01,87.1869
2009-01-01,78.4137
2009-04-01,79.3019
2009-07-01,82.909
2009-10-01,78.9641
2010-01-01,82.6273
2010-04-01,86.9009
2010-07-01,86.0884
2010-10-01,91.3625
2011-01-01,93.0378
2011-04-01,89.8772
2011-07-01,92.0379
2011-10-01,92.6313
2012-01-01,96.5975
2012-04-01,98.8488
2012-07-01,101.454
2012-10-01,103.5943
2013-01-01,105.5278
2013-04-01,103.1821
2013-07-01,104.5684
2013-10-01,110.3512
2014-01-01,104.1068
2014-04-01,104.2683
2014-07-01,105.8343
2014-10-01,104.7693
2015-01-01,104.1564
2015-04-01,103.0439
2015-07-01,105.4641
2015-10-01,104.6547
2016-01-01,103.1971
