DATE,VALUE
1976-01-01,24.6129646494
1977-01-01,28.5868035433
1978-01-01,31.3188177829
1979-01-01,35.9632419902
1980-01-01,39.3658415432
1981-01-01,44.9788889809
1982-01-01,50.5670999255
1983-01-01,54.2429009024
1984-01-01,59.6075834092
1985-01-01,61.4951568838
1986-01-01,64.1526616442
1987-01-01,65.8663796672
1988-01-01,67.4807517179
1989-01-01,70.7343323123
1990-01-01,71.7277920358
1991-01-01,72.2990313768
1992-01-01,73.0689626625
1993-01-01,72.8454342247
1994-01-01,75.2297375611
1995-01-01,77.3656759666
1996-01-01,78.6820101002
1997-01-01,79.8410464442
1998-01-01,83.1029058697
1999-01-01,85.6279493336
2000-01-01,88.3020117559
2001-01-01,94.0640781522
2002-01-01,97.3011010845
2003-01-01,98.6919446974
2004-01-01,98.4518585976
2005-01-01,97.7564367911
2006-01-01,99.1141650799
2007-01-01,101.887573475
2008-01-01,108.552032453
2009-01-01,104.793443166
2010-01-01,100.0
2011-01-01,101.183872837
2012-01-01,101.689131143
2013-01-01,102.770121824
2014-01-01,100.473016627
