DATE,VALUE
1993-01-01,45.5023441963
1994-01-01,46.6550702493
1995-01-01,47.3507505339
1996-01-01,48.2405741538
1997-01-01,48.7825576313
1998-01-01,49.7209170849
1999-01-01,51.3428228647
2000-01-01,53.7696145552
2001-01-01,57.2913651798
2002-01-01,60.8256714462
2003-01-01,62.6665743704
2004-01-01,64.6780432039
2005-01-01,67.9461226804
2006-01-01,72.2206885535
2007-01-01,76.9535645049
2008-01-01,85.7506843828
2009-01-01,95.5267770724
2010-01-01,100.0
2011-01-01,102.617632809
2012-01-01,107.324782176
2013-01-01,111.721221071
2014-01-01,114.773454531
