DATE,VALUE
1990-01-01,0.0
1992-01-01,0.05126290613
1993-01-01,0.103314977627
1994-01-01,0.205839853323
1995-01-01,0.325012151964
1996-01-01,0.677078458539
1997-01-01,1.50423772946
1998-01-01,2.66221406106
1999-01-01,4.30981150766
2000-01-01,6.59326025557
2001-01-01,8.91715329148
2002-01-01,11.4929815025
2003-01-01,15.1448123003
2004-01-01,18.8981193565
2005-01-01,21.5461054188
2006-01-01,25.2586396567
2007-01-01,31.4172842647
2008-01-01,34.4839658428
2009-01-01,38.0273499139
2010-01-01,47.4390588556
2011-01-01,52.5773228113
2012-01-01,62.4206498314
2013-01-01,66.9562184387
2014-01-01,69.8993263469
