DATE,VALUE
1948-01-01,964.0
1949-01-01,847.0
1950-01-01,911.0
1951-01-01,965.0
1952-01-01,907.0
1953-01-01,878.0
1954-01-01,801.0
1955-01-01,837.0
1956-01-01,824.0
1957-01-01,747.0
1958-01-01,697.0
1959-01-01,740.0
1960-01-01,719.0
1961-01-01,671.0
1962-01-01,679.0
1963-01-01,684.0
1964-01-01,704.0
1965-01-01,719.0
1966-01-01,730.0
1967-01-01,714.0
1968-01-01,727.0
1969-01-01,745.0
1970-01-01,732.0
1971-01-01,756.0
1972-01-01,781.0
1973-01-01,811.0
1974-01-01,773.0
1975-01-01,661.0
1976-01-01,741.0
1977-01-01,784.0
1978-01-01,824.0
1979-01-01,843.0
1980-01-01,766.0
1981-01-01,730.0
1982-01-01,644.0
1983-01-01,694.0
1984-01-01,743.0
1985-01-01,727.0
1986-01-01,737.0
1987-01-01,787.0
