DATE,VALUE
1955-01-01,23897.5
1956-01-01,24460.0
1957-01-01,25180.0
1958-01-01,25299.17
1959-01-01,25644.17
1960-01-01,26308.33
1961-01-01,26722.5
1962-01-01,27205.0
1963-01-01,27569.17
1964-01-01,28005.0
1965-01-01,28507.5
1966-01-01,29059.17
1967-01-01,29571.67
1968-01-01,30212.5
1969-01-01,30549.17
1970-01-01,30916.67
1971-01-01,31405.0
1972-01-01,31790.83
1973-01-01,32349.17
1974-01-01,32635.0
1975-01-01,32698.33
1976-01-01,32942.5
1977-01-01,33092.5
1978-01-01,33253.33
1979-01-01,33628.33
1980-01-01,33940.0
1981-01-01,34193.33
1982-01-01,34378.33
1983-01-01,34695.0
1984-01-01,34845.0
1985-01-01,35034.17
1986-01-01,35264.17
1987-01-01,35507.5
1988-01-01,36022.5
1989-01-01,36539.17
1990-01-01,37134.17
1991-01-01,37765.0
1992-01-01,38171.67
1993-01-01,38400.83
1994-01-01,38390.83
1995-01-01,38430.0
1996-01-01,38583.33
1997-01-01,38917.5
1998-01-01,38579.17
1999-01-01,38306.67
2000-01-01,38172.5
2001-01-01,37829.17
2002-01-01,37365.0
2003-01-01,37186.67
2004-01-01,37126.67
2005-01-01,37225.83
2006-01-01,37299.17
2007-01-01,37525.0
2008-01-01,37290.83
2009-01-01,36436.67
2010-01-01,36150.83
2011-01-01,35311.67
