DATE,VALUE
1970-01-01,29.38895959
1971-01-01,29.41489586
1972-01-01,29.3834744
1973-01-01,29.37467199
1974-01-01,29.12961996
1975-01-01,29.64235667
1976-01-01,29.54434506
1977-01-01,29.22644381
1978-01-01,29.3305874
1979-01-01,27.90395462
1980-01-01,32.21975924
1981-01-01,31.75879129
1982-01-01,28.56743609
1983-01-01,31.84321317
1984-01-01,22.10836139
1985-01-01,31.51416403
1986-01-01,36.52454306
1987-01-01,32.14382327
1988-01-01,29.40130101
1989-01-01,33.71362316
1990-01-01,32.64298275
1991-01-01,9.165959537
1992-01-01,3.563994603
1993-01-01,23.33778416
1994-01-01,19.77059809
1995-01-01,16.08540622
1996-01-01,25.67147562
1997-01-01,13.55960302
1998-01-01,37.26062324
1999-01-01,15.49523552
2000-01-01,21.26060905
2001-01-01,47.56585525
2002-01-01,38.37854207
2003-01-01,44.27269766
2004-01-01,42.3006321
2005-01-01,39.10048445
2006-01-01,31.23582015
2007-01-01,38.80776202
2008-01-01,39.73553395
2009-01-01,54.63665287
2010-01-01,60.18965657
