DATE,VALUE
1950-01-01,11.52983822
1951-01-01,10.76108253
1952-01-01,11.17999371
1953-01-01,10.34312338
1954-01-01,10.46480013
1955-01-01,10.07915907
1956-01-01,11.0054251
1957-01-01,10.10692781
1958-01-01,9.721955871
1959-01-01,10.40149908
1960-01-01,10.29635322
1961-01-01,9.936003363
1962-01-01,9.858542172
1963-01-01,10.25057421
1964-01-01,9.466788903
1965-01-01,8.587733322
1966-01-01,8.571691407
1967-01-01,8.320856305
1968-01-01,8.822489615
1969-01-01,8.048360484
1970-01-01,7.770880484
1971-01-01,7.777585187
1972-01-01,7.509983368
1973-01-01,7.747523494
1974-01-01,7.931038597
1975-01-01,7.96547702
1976-01-01,8.3050757
1977-01-01,8.05971901
1978-01-01,8.657952605
1979-01-01,8.477925457
1980-01-01,8.356300943
1981-01-01,8.415776684
1982-01-01,8.257329237
1983-01-01,8.303273588
1984-01-01,9.00452072
1985-01-01,8.462943925
1986-01-01,7.789939484
1987-01-01,8.798979409
1988-01-01,8.18603653
1989-01-01,10.17364952
1990-01-01,5.757619647
1991-01-01,4.776350605
1992-01-01,5.592878788
1993-01-01,5.909123106
1994-01-01,5.625397254
1995-01-01,5.720157973
1996-01-01,5.568326535
1997-01-01,5.366432588
1998-01-01,5.334240597
1999-01-01,5.622531827
2000-01-01,5.688647631
2001-01-01,5.743516843
2002-01-01,5.842899063
2003-01-01,5.509986466
2004-01-01,5.266508115
2005-01-01,5.129624217
2006-01-01,5.002939311
2007-01-01,4.993945754
2008-01-01,5.060895672
2009-01-01,5.318880579
2010-01-01,5.40952559
