DATE,VALUE
1990-01-01,1426.0
1990-02-01,1409.0
1990-03-01,1451.0
1990-04-01,1463.0
1990-05-01,1477.0
1990-06-01,1590.0
1990-07-01,1563.0
1990-08-01,1563.0
1990-09-01,1456.0
1990-10-01,1445.0
1990-11-01,1474.0
1990-12-01,1450.0
1991-01-01,1419.0
1991-02-01,1414.0
1991-03-01,1438.0
1991-04-01,1493.0
1991-05-01,1479.0
1991-06-01,1558.0
1991-07-01,1554.0
1991-08-01,1532.0
1991-09-01,1474.0
1991-10-01,1454.0
1991-11-01,1415.0
1991-12-01,1386.0
1992-01-01,1385.0
1992-02-01,1391.0
1992-03-01,1428.0
1992-04-01,1477.0
1992-05-01,1465.0
1992-06-01,1523.0
1992-07-01,1494.0
1992-08-01,1526.0
1992-09-01,1475.0
1992-10-01,1526.0
1992-11-01,1537.0
1992-12-01,1456.0
1993-01-01,1452.0
1993-02-01,1480.0
1993-03-01,1487.0
1993-04-01,1534.0
1993-05-01,1580.0
1993-06-01,1607.0
1993-07-01,1543.0
1993-08-01,1531.0
1993-09-01,1487.0
1993-10-01,1487.0
1993-11-01,1527.0
1993-12-01,1471.0
1994-01-01,1462.0
1994-02-01,1503.0
1994-03-01,1505.0
1994-04-01,1508.0
1994-05-01,1544.0
1994-06-01,1624.0
1994-07-01,1559.0
1994-08-01,1616.0
1994-09-01,1493.0
1994-10-01,1531.0
1994-11-01,1605.0
1994-12-01,1571.0
1995-01-01,1528.0
1995-02-01,1536.0
1995-03-01,1536.0
1995-04-01,1545.0
1995-05-01,1546.0
1995-06-01,1679.0
1995-07-01,1622.0
1995-08-01,1586.0
1995-09-01,1553.0
1995-10-01,1568.0
1995-11-01,1554.0
1995-12-01,1526.0
1996-01-01,1449.0
1996-02-01,1462.0
1996-03-01,1474.0
1996-04-01,1511.0
1996-05-01,1538.0
1996-06-01,1596.0
1996-07-01,1482.0
1996-08-01,1506.0
1996-09-01,1488.0
1996-10-01,1491.0
1996-11-01,1512.0
1996-12-01,1414.0
1997-01-01,1436.0
1997-02-01,1409.0
1997-03-01,1411.0
1997-04-01,1484.0
1997-05-01,1507.0
1997-06-01,1577.0
1997-07-01,1567.0
1997-08-01,1510.0
1997-09-01,1525.0
1997-10-01,1506.0
1997-11-01,1463.0
1997-12-01,1481.0
1998-01-01,1420.0
1998-02-01,1396.0
1998-03-01,1402.0
1998-04-01,1462.0
1998-05-01,1513.0
1998-06-01,1575.0
1998-07-01,1502.0
1998-08-01,1485.0
1998-09-01,1452.0
1998-10-01,1503.0
1998-11-01,1531.0
1998-12-01,1507.0
1999-01-01,1537.0
1999-02-01,1514.0
1999-03-01,1485.0
1999-04-01,1458.0
1999-05-01,1529.0
1999-06-01,1603.0
1999-07-01,1568.0
1999-08-01,1538.0
1999-09-01,1537.0
1999-10-01,1467.0
1999-11-01,1454.0
1999-12-01,1451.0
2000-01-01,1516.0
2000-02-01,1532.0
2000-03-01,1510.0
2000-04-01,1587.0
2000-05-01,1641.0
2000-06-01,1737.0
2000-07-01,1629.0
2000-08-01,1569.0
2000-09-01,1550.0
2000-10-01,1545.0
2000-11-01,1577.0
2000-12-01,1517.0
2001-01-01,1474.0
2001-02-01,1471.0
2001-03-01,1472.0
2001-04-01,1527.0
2001-05-01,1531.0
2001-06-01,1583.0
2001-07-01,1527.0
2001-08-01,1462.0
2001-09-01,1480.0
2001-10-01,1538.0
2001-11-01,1510.0
2001-12-01,1508.0
2002-01-01,1561.0
2002-02-01,1555.0
2002-03-01,1554.0
2002-04-01,1591.0
2002-05-01,1657.0
2002-06-01,1658.0
2002-07-01,1635.0
2002-08-01,1597.0
2002-09-01,1519.0
2002-10-01,1597.0
2002-11-01,1574.0
2002-12-01,1562.0
2003-01-01,1550.0
2003-02-01,1560.0
2003-03-01,1548.0
2003-04-01,1562.0
2003-05-01,1622.0
2003-06-01,1682.0
2003-07-01,1586.0
2003-08-01,1537.0
2003-09-01,1564.0
2003-10-01,1579.0
2003-11-01,1557.0
2003-12-01,1534.0
2004-01-01,1538.0
2004-02-01,1547.0
2004-03-01,1569.0
2004-04-01,1436.0
2004-05-01,1477.0
2004-06-01,1596.0
2004-07-01,1605.0
2004-08-01,1536.0
2004-09-01,1514.0
2004-10-01,1533.0
2004-11-01,1518.0
2004-12-01,1524.0
2005-01-01,1541.0
2005-02-01,1517.0
2005-03-01,1559.0
2005-04-01,1509.0
2005-05-01,1499.0
2005-06-01,1603.0
2005-07-01,1493.0
2005-08-01,1453.0
2005-09-01,1494.0
2005-10-01,1539.0
2005-11-01,1497.0
2005-12-01,1492.0
2006-01-01,1545.0
2006-02-01,1525.0
2006-03-01,1519.0
2006-04-01,1496.0
2006-05-01,1499.0
2006-06-01,1610.0
2006-07-01,1509.0
2006-08-01,1473.0
2006-09-01,1539.0
2006-10-01,1544.0
2006-11-01,1515.0
2006-12-01,1497.0
2007-01-01,1520.0
2007-02-01,1497.0
2007-03-01,1504.0
2007-04-01,1458.0
2007-05-01,1498.0
2007-06-01,1672.0
2007-07-01,1533.0
2007-08-01,1454.0
2007-09-01,1501.0
2007-10-01,1468.0
2007-11-01,1452.0
2007-12-01,1464.0
2008-01-01,1470.0
2008-02-01,1434.0
2008-03-01,1485.0
2008-04-01,1473.0
2008-05-01,1497.0
2008-06-01,1594.0
2008-07-01,1537.0
2008-08-01,1505.0
2008-09-01,1532.0
2008-10-01,1542.0
2008-11-01,1539.0
2008-12-01,1587.0
2009-01-01,1589.0
2009-02-01,1555.0
2009-03-01,1589.0
2009-04-01,1594.0
2009-05-01,1604.0
2009-06-01,1732.0
2009-07-01,1607.0
2009-08-01,1612.0
2009-09-01,1626.0
2009-10-01,1646.0
2009-11-01,1661.0
2009-12-01,1662.0
2010-01-01,1480.0
2010-02-01,1506.0
2010-03-01,1489.0
2010-04-01,1458.0
2010-05-01,1463.0
2010-06-01,1576.0
2010-07-01,1527.0
2010-08-01,1495.0
2010-09-01,1549.0
2010-10-01,1539.0
2010-11-01,1512.0
2010-12-01,1461.0
2011-01-01,1477.0
2011-02-01,1472.0
2011-03-01,1499.0
2011-04-01,1458.0
2011-05-01,1460.0
2011-06-01,1585.0
2011-07-01,1520.0
2011-08-01,1498.0
2011-09-01,1480.0
2011-10-01,1520.0
2011-11-01,1522.0
2011-12-01,1487.0
2012-01-01,1465.0
2012-02-01,1459.0
2012-03-01,1489.0
2012-04-01,1461.0
2012-05-01,1496.0
2012-06-01,1575.0
2012-07-01,1518.0
2012-08-01,1429.0
2012-09-01,1546.0
2012-10-01,1537.0
2012-11-01,1585.0
2012-12-01,1570.0
2013-01-01,1481.0
2013-02-01,1455.0
2013-03-01,1469.0
2013-04-01,1445.0
2013-05-01,1444.0
2013-06-01,1515.0
2013-07-01,1439.0
2013-08-01,1421.0
2013-09-01,1497.0
2013-10-01,1547.0
2013-11-01,1555.0
2013-12-01,1579.0
2014-01-01,1499.0
2014-02-01,1454.0
2014-03-01,1480.0
2014-04-01,1450.0
2014-05-01,1452.0
2014-06-01,1520.0
2014-07-01,1413.0
2014-08-01,1401.0
2014-09-01,1517.0
2014-10-01,1553.0
2014-11-01,1560.0
2014-12-01,1520.0
2015-01-01,1490.0
2015-02-01,1507.0
2015-03-01,1570.0
2015-04-01,1514.0
2015-05-01,1453.0
2015-06-01,1522.0
2015-07-01,1450.0
2015-08-01,1451.0
2015-09-01,1524.0
2015-10-01,1570.0
2015-11-01,1555.0
2015-12-01,1514.0
2016-01-01,1464.0
2016-02-01,1485.0
2016-03-01,1489.0
2016-04-01,1457.0
2016-05-01,1430.0
2016-06-01,1514.0
2016-07-01,1452.0
2016-08-01,1490.0
