DATE,VALUE
1990-01-01,6128.0
1990-02-01,6134.0
1990-03-01,6247.0
1990-04-01,6212.0
1990-05-01,6241.0
1990-06-01,6648.0
1990-07-01,6310.0
1990-08-01,6439.0
1990-09-01,6415.0
1990-10-01,6354.0
1990-11-01,6590.0
1990-12-01,6461.0
1991-01-01,6493.0
1991-02-01,6441.0
1991-03-01,6589.0
1991-04-01,6755.0
1991-05-01,6640.0
1991-06-01,6927.0
1991-07-01,6503.0
1991-08-01,6339.0
1991-09-01,6591.0
1991-10-01,6499.0
1991-11-01,6506.0
1991-12-01,6561.0
1992-01-01,6405.0
1992-02-01,6402.0
1992-03-01,6577.0
1992-04-01,6672.0
1992-05-01,6587.0
1992-06-01,6859.0
1992-07-01,6537.0
1992-08-01,6693.0
1992-09-01,6629.0
1992-10-01,6613.0
1992-11-01,6799.0
1992-12-01,6744.0
1993-01-01,6540.0
1993-02-01,6540.0
1993-03-01,6666.0
1993-04-01,6750.0
1993-05-01,6637.0
1993-06-01,6856.0
1993-07-01,6485.0
1993-08-01,6499.0
1993-09-01,6465.0
1993-10-01,6458.0
1993-11-01,6692.0
1993-12-01,6650.0
1994-01-01,6785.0
1994-02-01,6906.0
1994-03-01,6980.0
1994-04-01,7074.0
1994-05-01,6928.0
1994-06-01,7145.0
1994-07-01,6650.0
1994-08-01,6740.0
1994-09-01,6832.0
1994-10-01,6841.0
1994-11-01,6913.0
1994-12-01,6985.0
1995-01-01,6773.0
1995-02-01,6885.0
1995-03-01,6990.0
1995-04-01,6798.0
1995-05-01,6923.0
1995-06-01,7214.0
1995-07-01,6915.0
1995-08-01,7004.0
1995-09-01,6865.0
1995-10-01,6849.0
1995-11-01,6858.0
1995-12-01,6939.0
1996-01-01,6825.0
1996-02-01,6877.0
1996-03-01,7065.0
1996-04-01,6940.0
1996-05-01,6955.0
1996-06-01,7118.0
1996-07-01,6811.0
1996-08-01,6825.0
1996-09-01,7067.0
1996-10-01,6956.0
1996-11-01,7069.0
1996-12-01,7024.0
1997-01-01,6980.0
1997-02-01,7005.0
1997-03-01,7153.0
1997-04-01,7039.0
1997-05-01,7054.0
1997-06-01,7316.0
1997-07-01,6882.0
1997-08-01,6889.0
1997-09-01,7310.0
