DATE,VALUE
1990-01-01,18148.0
1990-02-01,17955.0
1990-03-01,17996.0
1990-04-01,17912.0
1990-05-01,18059.0
1990-06-01,18646.0
1990-07-01,18474.0
1990-08-01,18097.0
1990-09-01,17881.0
1990-10-01,18255.0
1990-11-01,17822.0
1990-12-01,17744.0
1991-01-01,17867.0
1991-02-01,17848.0
1991-03-01,17754.0
1991-04-01,17768.0
1991-05-01,17753.0
1991-06-01,18215.0
1991-07-01,18026.0
1991-08-01,17642.0
1991-09-01,17398.0
1991-10-01,17750.0
1991-11-01,17728.0
1991-12-01,17396.0
1992-01-01,17549.0
1992-02-01,17453.0
1992-03-01,17458.0
1992-04-01,17542.0
1992-05-01,17671.0
1992-06-01,18403.0
1992-07-01,18596.0
1992-08-01,17944.0
1992-09-01,17646.0
1992-10-01,18176.0
1992-11-01,18082.0
1992-12-01,17807.0
1993-01-01,17840.0
1993-02-01,17687.0
1993-03-01,17642.0
1993-04-01,17569.0
1993-05-01,17707.0
1993-06-01,18341.0
1993-07-01,18298.0
1993-08-01,18127.0
1993-09-01,17928.0
1993-10-01,18086.0
1993-11-01,18133.0
1993-12-01,17982.0
1994-01-01,18125.0
1994-02-01,17838.0
1994-03-01,17906.0
1994-04-01,17931.0
1994-05-01,17995.0
1994-06-01,18574.0
1994-07-01,18210.0
1994-08-01,17964.0
1994-09-01,18045.0
1994-10-01,18105.0
1994-11-01,18217.0
1994-12-01,17994.0
1995-01-01,18093.0
1995-02-01,18027.0
1995-03-01,17854.0
1995-04-01,17901.0
1995-05-01,17979.0
1995-06-01,18493.0
1995-07-01,18320.0
1995-08-01,17922.0
1995-09-01,17941.0
1995-10-01,18074.0
1995-11-01,18068.0
1995-12-01,17648.0
1996-01-01,18031.0
1996-02-01,17996.0
1996-03-01,18049.0
1996-04-01,17928.0
1996-05-01,17891.0
1996-06-01,18739.0
1996-07-01,18420.0
1996-08-01,18096.0
1996-09-01,18310.0
1996-10-01,18622.0
1996-11-01,18198.0
1996-12-01,18018.0
1997-01-01,17338.0
1997-02-01,17155.0
1997-03-01,17303.0
1997-04-01,17430.0
1997-05-01,17412.0
1997-06-01,17897.0
1997-07-01,17402.0
1997-08-01,17179.0
1997-09-01,17184.0
1997-10-01,17449.0
1997-11-01,17415.0
1997-12-01,17219.0
1998-01-01,18502.0
1998-02-01,18481.0
1998-03-01,18278.0
1998-04-01,18550.0
1998-05-01,18592.0
1998-06-01,19200.0
1998-07-01,18656.0
1998-08-01,18581.0
1998-09-01,18605.0
1998-10-01,18855.0
1998-11-01,18998.0
1998-12-01,18857.0
1999-01-01,18932.0
1999-02-01,18860.0
1999-03-01,18597.0
1999-04-01,18497.0
1999-05-01,18470.0
1999-06-01,19158.0
1999-07-01,19203.0
1999-08-01,18824.0
1999-09-01,18852.0
1999-10-01,18702.0
1999-11-01,18982.0
1999-12-01,18881.0
2000-01-01,17025.0
2000-02-01,16932.0
2000-03-01,16904.0
2000-04-01,16856.0
2000-05-01,16868.0
2000-06-01,17253.0
2000-07-01,17272.0
2000-08-01,17340.0
2000-09-01,16852.0
2000-10-01,16852.0
2000-11-01,16932.0
2000-12-01,16892.0
2001-01-01,16483.0
2001-02-01,16327.0
2001-03-01,16274.0
2001-04-01,15862.0
2001-05-01,15968.0
2001-06-01,16481.0
2001-07-01,16778.0
2001-08-01,16153.0
2001-09-01,16095.0
2001-10-01,15988.0
2001-11-01,16022.0
2001-12-01,15929.0
2002-01-01,16043.0
2002-02-01,15804.0
2002-03-01,15801.0
2002-04-01,15881.0
2002-05-01,15852.0
2002-06-01,16324.0
2002-07-01,16512.0
2002-08-01,16387.0
2002-09-01,16391.0
2002-10-01,16467.0
2002-11-01,16819.0
2002-12-01,16579.0
2003-01-01,16487.0
2003-02-01,16137.0
2003-03-01,16122.0
2003-04-01,16132.0
2003-05-01,16256.0
2003-06-01,16741.0
2003-07-01,17068.0
2003-08-01,16572.0
2003-09-01,16537.0
2003-10-01,16724.0
2003-11-01,16987.0
2003-12-01,16920.0
2004-01-01,17014.0
2004-02-01,17173.0
2004-03-01,17287.0
2004-04-01,17018.0
2004-05-01,16972.0
2004-06-01,17387.0
2004-07-01,17665.0
2004-08-01,17669.0
2004-09-01,17805.0
2004-10-01,16903.0
2004-11-01,16837.0
2004-12-01,16817.0
2005-01-01,16819.0
2005-02-01,16709.0
2005-03-01,16757.0
2005-04-01,16601.0
2005-05-01,16743.0
2005-06-01,17053.0
2005-07-01,17258.0
2005-08-01,17022.0
2005-09-01,16829.0
2005-10-01,16886.0
2005-11-01,17070.0
2005-12-01,17003.0
2006-01-01,17528.0
2006-02-01,17479.0
2006-03-01,17520.0
2006-04-01,17401.0
2006-05-01,17487.0
2006-06-01,17905.0
2006-07-01,17815.0
2006-08-01,17710.0
2006-09-01,17795.0
2006-10-01,17730.0
2006-11-01,17914.0
2006-12-01,18250.0
2007-01-01,17351.0
2007-02-01,17342.0
2007-03-01,17276.0
2007-04-01,17341.0
2007-05-01,17479.0
2007-06-01,17822.0
2007-07-01,18040.0
2007-08-01,17781.0
2007-09-01,17621.0
2007-10-01,17632.0
2007-11-01,17715.0
2007-12-01,17589.0
2008-01-01,17700.0
2008-02-01,17509.0
2008-03-01,17484.0
2008-04-01,17769.0
2008-05-01,17739.0
2008-06-01,18363.0
2008-07-01,17955.0
2008-08-01,17889.0
2008-09-01,17894.0
2008-10-01,18030.0
2008-11-01,18520.0
2008-12-01,18793.0
2009-01-01,18922.0
2009-02-01,18448.0
2009-03-01,18539.0
2009-04-01,18368.0
2009-05-01,18511.0
2009-06-01,18916.0
2009-07-01,19334.0
2009-08-01,18472.0
2009-09-01,18274.0
2009-10-01,18549.0
2009-11-01,19112.0
2009-12-01,19335.0
2010-01-01,18342.0
2010-02-01,17989.0
2010-03-01,17739.0
2010-04-01,17619.0
2010-05-01,17615.0
2010-06-01,18552.0
2010-07-01,18249.0
2010-08-01,17924.0
2010-09-01,17684.0
2010-10-01,18060.0
2010-11-01,18359.0
2010-12-01,18871.0
2011-01-01,18327.0
2011-02-01,17695.0
2011-03-01,17775.0
2011-04-01,17868.0
2011-05-01,17845.0
2011-06-01,18546.0
2011-07-01,18485.0
2011-08-01,18395.0
2011-09-01,18605.0
2011-10-01,18531.0
2011-11-01,18613.0
2011-12-01,18571.0
2012-01-01,18378.0
2012-02-01,18274.0
2012-03-01,18043.0
2012-04-01,17975.0
2012-05-01,18040.0
2012-06-01,18706.0
2012-07-01,18600.0
2012-08-01,18508.0
2012-09-01,18278.0
2012-10-01,18457.0
2012-11-01,18782.0
2012-12-01,18596.0
2013-01-01,17900.0
2013-02-01,17674.0
2013-03-01,17463.0
2013-04-01,17575.0
2013-05-01,17658.0
2013-06-01,18183.0
2013-07-01,18103.0
2013-08-01,17811.0
2013-09-01,17721.0
2013-10-01,17770.0
2013-11-01,18112.0
2013-12-01,17989.0
2014-01-01,17634.0
2014-02-01,17678.0
2014-03-01,17484.0
2014-04-01,17087.0
2014-05-01,16996.0
2014-06-01,17419.0
2014-07-01,17663.0
2014-08-01,17291.0
2014-09-01,17030.0
2014-10-01,17433.0
2014-11-01,17492.0
2014-12-01,17174.0
2015-01-01,16993.0
2015-02-01,16563.0
2015-03-01,16447.0
2015-04-01,16531.0
2015-05-01,16497.0
2015-06-01,16915.0
2015-07-01,17092.0
2015-08-01,16651.0
2015-09-01,16641.0
2015-10-01,16838.0
