DATE,VALUE
1959-01-01,-4.6
1960-01-01,-0.7
1961-01-01,-2.5
1962-01-01,-1.1
1963-01-01,-0.4
1964-01-01,0.9
1965-01-01,1.2
1966-01-01,2.7
1967-01-01,0.6
1968-01-01,1.3
1969-01-01,0.6
1970-01-01,2.1
1971-01-01,-4.7
1972-01-01,0.3
1973-01-01,12.4
1974-01-01,11.9
1975-01-01,-5.2
1976-01-01,-0.9
1977-01-01,13.3
1978-01-01,24.8
1979-01-01,23.1
1980-01-01,17.5
1981-01-01,19.7
1982-01-01,22.9
1983-01-01,26.5
1984-01-01,51.8
1985-01-01,62.2
1986-01-01,65.9
1987-01-01,67.3
1988-01-01,57.3
1989-01-01,62.9
1990-01-01,56.2
1991-01-01,17.6
1992-01-01,33.2
1993-01-01,57.0
1994-01-01,67.2
1995-01-01,66.5
1996-01-01,116.0
1997-01-01,154.0
1998-01-01,191.6
1999-01-01,168.2
2000-01-01,195.4
2001-01-01,-8.3
2002-01-01,-244.9
2003-01-01,-116.8
2004-01-01,167.5
2005-01-01,160.2
2006-01-01,239.9
2007-01-01,400.4
2008-01-01,-218.8
2009-01-01,-895.3
2010-01-01,64.9
2011-01-01,281.0
2012-01-01,-120.8
2013-01-01,215.4
