DATE,VALUE
2000-01-01,166.0
2000-04-01,174.0
2000-07-01,178.0
2000-10-01,171.0
2001-01-01,176.0
2001-04-01,180.0
2001-07-01,192.0
2001-10-01,181.0
2002-01-01,182.0
2002-04-01,190.0
2002-07-01,196.0
2002-10-01,187.0
2003-01-01,185.0
2003-04-01,195.0
2003-07-01,200.0
2003-10-01,190.0
2004-01-01,194.0
2004-04-01,197.0
2004-07-01,200.0
2004-10-01,195.0
2005-01-01,197.0
2005-04-01,205.0
2005-07-01,207.0
2005-10-01,198.0
2006-01-01,204.0
2006-04-01,206.0
2006-07-01,213.0
2006-10-01,209.0
2007-01-01,211.0
2007-04-01,208.0
2007-07-01,221.0
2007-10-01,216.0
2008-01-01,218.0
2008-04-01,220.0
2008-07-01,224.0
2008-10-01,219.0
2009-01-01,223.0
2009-04-01,226.0
2009-07-01,230.0
2009-10-01,227.0
2010-01-01,229.0
2010-04-01,229.0
2010-07-01,234.0
2010-10-01,228.0
2011-01-01,232.0
2011-04-01,229.0
2011-07-01,238.0
2011-10-01,233.0
2012-01-01,229.0
2012-04-01,228.0
2012-07-01,243.0
2012-10-01,236.0
2013-01-01,234.0
2013-04-01,239.0
2013-07-01,243.0
2013-10-01,236.0
2014-01-01,238.0
2014-04-01,245.0
2014-07-01,249.0
2014-10-01,242.0
2015-01-01,248.0
2015-04-01,247.0
2015-07-01,252.0
2015-10-01,249.0
2016-01-01,249.0
2016-04-01,252.0
