DATE,VALUE
2015-01-07,352.4871
2015-01-14,353.5888
2015-01-21,353.2803
2015-01-28,353.9564
2015-02-04,354.8669
2015-02-11,355.5178
2015-02-18,356.1323
2015-02-25,358.575
2015-03-04,359.343
2015-03-11,359.6278
2015-03-18,359.5856
2015-03-25,359.6091
2015-04-01,359.5616
2015-04-08,359.6445
2015-04-15,359.9729
2015-04-22,359.5549
2015-04-29,358.5452
2015-05-06,358.5877
2015-05-13,359.1007
2015-05-20,359.5333
2015-05-27,359.8493
2015-06-03,359.95
2015-06-10,359.7258
2015-06-17,359.7972
2015-06-24,359.0272
2015-07-01,358.9673
2015-07-08,359.2336
2015-07-15,359.1843
2015-07-22,359.1982
2015-07-29,359.34
2015-08-05,359.0289
2015-08-12,359.2311
2015-08-19,359.1877
2015-08-26,358.9834
2015-09-02,359.3009
2015-09-09,359.4612
2015-09-16,359.676
2015-09-23,359.1938
2015-09-30,361.1513
2015-10-07,362.1527
2015-10-14,361.4735
2015-10-21,361.598
2015-10-28,361.1255
2015-11-04,361.1824
2015-11-11,361.2643
2015-11-18,361.3146
2015-11-25,361.3971
2015-12-02,361.5017
2015-12-09,361.5803
2015-12-16,361.3126
2015-12-23,360.8265
2015-12-30,360.5594
2016-01-06,358.0364
2016-01-13,357.5897
2016-01-20,358.2625
2016-01-27,357.8066
2016-02-03,358.5093
2016-02-10,358.3116
2016-02-17,358.4775
2016-02-24,358.7321
2016-03-02,358.891
2016-03-09,359.4418
2016-03-16,359.3798
2016-03-23,359.4792
2016-03-30,359.4145
2016-04-06,358.7023
2016-04-13,358.516
2016-04-20,358.2259
2016-04-27,358.8446
2016-05-04,358.7974
2016-05-11,359.3289
2016-05-18,359.4025
2016-05-25,359.5831
2016-06-01,359.7922
2016-06-08,360.6693
2016-06-15,360.3628
2016-06-22,360.1885
2016-06-29,358.9228
2016-07-06,359.4247
2016-07-13,359.5433
2016-07-20,359.8621
2016-07-27,359.8355
2016-08-03,359.9658
2016-08-10,360.2345
2016-08-17,359.9207
2016-08-24,359.9408
2016-08-31,360.6485
2016-09-07,360.6129
2016-09-14,363.0921
2016-09-21,362.2578
2016-09-28,362.5612
2016-10-05,364.4899
