DATE,VALUE
1947-01-01,43.5
1947-02-01,52.3
1947-03-01,57.2
1947-04-01,56.6
1947-05-01,51.1
1947-06-01,57.9
1947-07-01,48.3
1947-08-01,49.2
1947-09-01,56.3
1947-10-01,55.8
1947-11-01,62.0
1947-12-01,63.5
1948-01-01,58.8
1948-02-01,56.5
1948-03-01,62.7
1948-04-01,57.6
1948-05-01,44.8
1948-06-01,59.7
1948-07-01,68.4
1948-08-01,65.4
1948-09-01,56.6
1948-10-01,74.5
1948-11-01,68.1
1948-12-01,67.0
1949-01-01,64.1
1949-02-01,66.4
1949-03-01,71.0
1949-04-01,82.8
1949-05-01,71.9
1949-06-01,90.6
1949-07-01,92.0
1949-08-01,97.4
1949-09-01,97.4
1949-10-01,94.4
1949-11-01,68.4
1949-12-01,53.2
1950-01-01,91.0
1950-02-01,76.8
1950-03-01,82.2
1950-04-01,91.5
1950-05-01,102.0
1950-06-01,131.8
1950-07-01,115.4
1950-08-01,120.2
1950-09-01,117.8
1950-10-01,121.9
1950-11-01,93.9
1950-12-01,97.6
1951-01-01,88.3
1951-02-01,104.4
1951-03-01,113.9
1951-04-01,99.9
1951-05-01,91.1
1951-06-01,95.7
1951-07-01,72.4
1951-08-01,78.2
1951-09-01,75.5
1951-10-01,75.1
1951-11-01,68.7
1951-12-01,56.3
1952-01-01,52.1
1952-02-01,66.8
1952-03-01,76.3
1952-04-01,80.2
1952-05-01,76.3
1952-06-01,80.2
1952-07-01,29.6
1952-08-01,48.6
1952-09-01,85.7
1952-10-01,89.2
1952-11-01,86.1
1952-12-01,77.8
1953-01-01,90.0
1953-02-01,102.9
1953-03-01,109.7
1953-04-01,115.8
1953-05-01,109.9
1953-06-01,113.0
1953-07-01,109.9
1953-08-01,104.5
1953-09-01,91.4
1953-10-01,103.4
1953-11-01,73.5
1953-12-01,73.7
1954-01-01,93.4
1954-02-01,95.2
1954-03-01,98.3
1954-04-01,104.3
1954-05-01,101.2
1954-06-01,99.0
1954-07-01,86.9
1954-08-01,86.2
1954-09-01,56.7
1954-10-01,49.4
1954-11-01,101.8
1954-12-01,123.5
1955-01-01,140.0
1955-02-01,151.4
1955-03-01,155.4
1955-04-01,162.4
1955-05-01,149.6
1955-06-01,134.6
1955-07-01,143.8
1955-08-01,122.3
1955-09-01,96.2
1955-10-01,113.2
1955-11-01,156.0
1955-12-01,142.4
1956-01-01,127.5
1956-02-01,121.5
1956-03-01,120.5
1956-04-01,120.4
1956-05-01,94.6
1956-06-01,94.7
1956-07-01,94.5
1956-08-01,81.1
1956-09-01,44.3
1956-10-01,78.8
1956-11-01,123.1
1956-12-01,132.8
1957-01-01,131.0
1957-02-01,134.6
1957-03-01,130.5
1957-04-01,118.6
1957-05-01,110.2
1957-06-01,119.3
1957-07-01,103.4
1957-08-01,114.6
1957-09-01,65.3
1957-10-01,68.7
1957-11-01,133.2
1957-12-01,117.6
1958-01-01,103.3
1958-02-01,95.3
1958-03-01,82.8
1958-04-01,70.3
1958-05-01,77.6
1958-06-01,78.8
1958-07-01,68.6
1958-08-01,42.2
1958-09-01,29.3
1958-10-01,56.2
1958-11-01,127.3
1958-12-01,128.2
1959-01-01,123.7
1959-02-01,119.5
1959-03-01,131.2
1959-04-01,132.1
1959-05-01,131.0
1959-06-01,127.8
1959-07-01,122.1
1959-08-01,57.7
1959-09-01,59.6
1959-10-01,117.4
1959-11-01,61.7
1959-12-01,109.9
1960-01-01,167.5
1960-02-01,160.3
1960-03-01,145.2
1960-04-01,141.8
1960-05-01,141.9
1960-06-01,142.2
1960-07-01,105.6
1960-08-01,67.8
1960-09-01,94.6
1960-10-01,150.3
1960-11-01,138.5
1960-12-01,121.2
1961-01-01,96.5
1961-02-01,93.0
1961-03-01,90.6
1961-04-01,114.0
1961-05-01,120.3
1961-06-01,129.9
1961-07-01,97.1
1961-08-01,43.3
1961-09-01,86.3
1961-10-01,129.3
1961-11-01,149.9
1961-12-01,152.4
1962-01-01,139.4
1962-02-01,136.8
1962-03-01,139.9
1962-04-01,150.0
1962-05-01,149.3
1962-06-01,137.1
1962-07-01,136.7
1962-08-01,43.4
1962-09-01,120.0
1962-10-01,160.6
1962-11-01,159.4
1962-12-01,157.6
1963-01-01,152.6
1963-02-01,153.4
1963-03-01,157.4
1963-04-01,160.4
1963-05-01,158.7
1963-06-01,175.9
1963-07-01,145.4
1963-08-01,36.3
1963-09-01,122.6
1963-10-01,177.2
1963-11-01,181.5
1963-12-01,172.7
1964-01-01,165.4
1964-02-01,172.2
1964-03-01,167.8
1964-04-01,182.4
1964-05-01,176.3
1964-06-01,180.3
1964-07-01,130.1
1964-08-01,46.2
1964-09-01,132.9
1964-10-01,95.4
1964-11-01,165.4
1964-12-01,192.2
1965-01-01,201.1
1965-02-01,196.8
1965-03-01,213.6
1965-04-01,200.0
1965-05-01,203.4
1965-06-01,208.6
1965-07-01,171.7
1965-08-01,72.8
1965-09-01,114.0
1965-10-01,206.4
1965-11-01,211.7
1965-12-01,191.5
1966-01-01,198.3
1966-02-01,195.6
1966-03-01,202.2
1966-04-01,196.8
1966-05-01,184.3
1966-06-01,190.4
1966-07-01,112.1
1966-08-01,32.6
1966-09-01,150.1
1966-10-01,202.7
1966-11-01,193.4
1966-12-01,175.7
1967-01-01,155.4
1967-02-01,132.6
1967-03-01,151.5
1967-04-01,167.6
1967-05-01,166.4
1967-06-01,177.1
1967-07-01,94.8
1967-08-01,62.2
1967-09-01,140.1
1967-10-01,148.8
1967-11-01,159.0
1967-12-01,192.6
